CALLS, ,PUTS
Chart,OI,Chng in OI,Volume,IV,LTP,Net Chng,BidQty,BidPrice,AskPrice,AskQty,Strike Price,BidQty,BidPrice,AskPrice,AskQty,Net Chng,LTP,IV,Volume,Chng in OI,OI,Chart
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,948.40"," 2,539.20"," 1,200",9650.00," 14,550", 0.05, 0.15," 4,500", -4.85,"

 0.05
",-," 1,738"," -11,100"," 73,725",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,901.40"," 2,399.80"," 4,950",9700.00, 75, 0.10, 0.15, 900, -5.85,"

 0.10
",-, 990," 5,025"," 39,825",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,844.80"," 2,403.55"," 1,200",9750.00,-,-, 0.55," 7,575", -4.80,"

 1.80
",-, 3, 75," 2,325",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,816.40"," 2,299.75"," 1,200",9800.00," 2,025", 0.10, 0.20," 2,925", -7.70,"

 0.10
",-," 1,684"," -5,925"," 36,450",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,771.70"," 2,296.20"," 1,200",9850.00,-,-, 4.20," 2,475", -3.00,"

 5.00
",-, 1, 75," 1,650",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,727.60"," 2,199.90"," 2,025",9900.00," 1,875", 0.15, 0.20," 4,500", -9.45,"

 0.15
",-," 1,995"," -53,100"," 45,450",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,668.00"," 2,178.65"," 4,950",9950.00," 5,475", 0.15, 0.20," 5,475", -4.70,"

 0.30
",-," 11,424"," 12,600"," 12,900",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,601.40"," 2,099.80"," 4,950",10000.00," 64,500", 0.05, 0.15," 1,650", -11.50,"

 0.05
",-," 10,750"," -152,775"," 347,475",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,579.30"," 1,964.35"," 4,950",10050.00," 4,575", 0.05, 0.30, 75, -0.40,"

 0.05
",-, 249," 8,550"," 8,550",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,501.60"," 1,999.80"," 4,950",10100.00,-,-, 10.70," 56,925",-,"
							
								-
							
							
							
							",-,-,-," 21,225",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,491.30"," 1,817.95"," 4,950",10150.00,-,-, 0.45, 75, -0.80,"

 0.05
",-, 120," 4,500"," 4,500",
, 525,-, 9,-,"
 1,591.55
", 14.55, 75," 1,591.25"," 1,606.30", 75,10200.00, 150, 0.15, 0.20," 1,125", -14.65,"

 0.15
",-," 3,179"," -29,475"," 81,000",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,370.40"," 1,724.90"," 4,950",10250.00," 18,000", 0.05, 0.50, 750,-,"
							
								-
							
							
							
							",-,-,-,-,
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,250.15"," 1,799.80"," 4,950",10300.00," 20,325", 0.05, 0.10," 1,650", -16.50,"

 0.05
",-," 1,340"," -21,225"," 48,000",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,314.60"," 1,589.30"," 4,950",10350.00," 22,650", 0.05, 0.50," 1,500", -2.75,"

 0.30
",-, 33, 900, 975,
