CALLS, ,PUTS
Chart,OI,Chng in OI,Volume,IV,LTP,Net Chng,BidQty,BidPrice,AskPrice,AskQty,Strike Price,BidQty,BidPrice,AskPrice,AskQty,Net Chng,LTP,IV,Volume,Chng in OI,OI,Chart
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,491.35"," 2,495.20"," 1,200",9650.00, 150, 0.15, 0.30," 5,550", -4.75,"

 0.15
",-," 1,442"," 1,800"," 86,625",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 2,035.10"," 2,483.25"," 1,200",9700.00," 7,650", 0.10, 0.20, 975, -5.50,"

 0.45
",-, 775, -450," 34,350",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 2,015.70"," 2,652.60"," 4,950",9750.00,-,-, 1.80," 5,325", -3.80,"

 2.80
",-, 2,-," 2,250",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,643.90"," 2,374.45"," 1,200",9800.00," 1,875", 0.15, 0.30, 750, -7.65,"

 0.15
",-," 1,157"," -11,025"," 31,350",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,926.80"," 2,489.10"," 4,950",9850.00,-,-, 4.20," 7,650", -3.00,"

 5.00
",-, 1, 75," 1,650",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,281.05"," 2,235.00"," 1,200",9900.00, 375, 0.30, 0.35," 1,200", -9.30,"

 0.30
",-," 1,537"," -33,900"," 64,650",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,243.95"," 2,303.65"," 1,200",9950.00," 3,000", 0.30, 0.35, 450, -4.65,"

 0.35
",-," 11,149"," 12,000"," 12,300",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,754.00"," 2,199.75"," 1,200",10000.00," 11,400", 0.20, 0.25," 2,925", -11.35,"

 0.20
",-," 8,855"," -97,800"," 402,450",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,186.15"," 2,191.30"," 4,950",10050.00," 4,500", 0.10, 0.30, 450, -0.15,"

 0.30
",-, 235," 8,550"," 8,550",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,652.60"," 2,099.75"," 1,200",10100.00,-,-, 10.70," 56,625",-,"
							
								-
							
							
							
							",-,-,-," 21,225",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,526.35"," 1,950.20"," 1,200",10150.00," 4,500", 0.10, 0.40," 4,500", -0.50,"

 0.35
",-, 60,-,-,
, 600, 75, 2,-,"
 1,770.55
", 193.55, 75," 1,659.30"," 1,679.90", 75,10200.00, 450, 0.30, 0.40," 4,575", -14.45,"

 0.35
",-," 2,498"," -16,575"," 93,900",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,434.55"," 1,848.35"," 4,950",10250.00," 4,500", 0.20, 1.00," 1,500",-,"
							
								-
							
							
							
							",-,-,-,-,
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,455.50"," 1,899.75"," 1,200",10300.00, 975, 0.25, 0.35, 75, -16.15,"

 0.40
",-," 1,134"," -14,775"," 54,450",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,005.60"," 1,924.40"," 4,950",10350.00, 300, 0.35, 1.00," 1,500", -0.25,"

 2.80
",-, 27, 750, 825,
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,332.60"," 1,799.75"," 1,200",10400.00, 75, 0.45, 0.55, 600, -19.60,"

 0.45
",-," 2,946"," -7,800"," 80,175",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,293.55"," 1,602.45"," 4,950",10450.00," 4,500", 0.10, 1.40," 1,500",-,"
							
								-
							
							
							
							",-,-,-,-,
, 75,-,-,-,"
							
							-
							
							",-," 4,950"," 1,203.00"," 1,699.70"," 1,200",10500.00," 2,400", 0.45, 0.50," 6,225", -22.55,"

 0.50
",-," 17,101"," -139,500"," 697,200",
, 750,-,-,-,"
							
							-
							
							",-, 75," 1,307.30"," 1,342.55", 75,10550.00," 4,500", 0.10, 1.40," 1,500", -5.95,"

 0.75
",-, 38,-,-,
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,241.85"," 1,312.95"," 4,950",10600.00, 600, 0.40, 0.50, 75, -24.45,"

 0.45
",-," 4,505"," -40,575"," 113,025",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,185.80"," 1,265.70"," 4,950",10650.00,-,-, 10.00," 12,450",-,"
							
								-
							
							
							
							",-,-,-," 3,525",
, 225,-,-,-,"
							
							-
							
							",-, 75," 1,152.65"," 1,191.70", 75,10700.00, 150, 0.45, 0.55, 75, -28.55,"

 0.40
",-," 10,792"," -62,625"," 198,300",
, 150,-,-,-,"
							
							-
							
							",-," 4,950"," 1,093.80"," 1,159.40"," 4,950",10750.00, 300, 0.50, 1.00," 1,725", -31.50,"

 1.00
",-, 23, 75," 2,325",
," 1,500", -150, 8,-,"
 1,120.55
", 105.50," 4,950"," 1,054.95"," 1,085.95", 75,10800.00," 2,775", 0.70, 0.80," 3,000", -33.55,"

 0.70
",-," 14,461"," 24,225"," 314,100",
,-,-,-,-,"
							
							-
							
							",-," 4,950", 987.95," 1,051.80"," 4,950",10850.00, 75, 0.60, 1.30," 1,500", -36.45,"

 0.60
",-, 140, 900," 8,925",
