CALLS, ,PUTS
Chart,OI,Chng in OI,Volume,IV,LTP,Net Chng,BidQty,BidPrice,AskPrice,AskQty,Strike Price,BidQty,BidPrice,AskPrice,AskQty,Net Chng,LTP,IV,Volume,Chng in OI,OI,Chart
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,496.85"," 2,495.20"," 1,200",9650.00, 225, 0.15, 0.25," 4,500", -4.75,"

 0.15
",-," 1,442"," 1,800"," 86,625",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 2,035.10"," 2,483.25"," 1,200",9700.00," 16,800", 0.10, 0.20, 225, -5.75,"

 0.20
",-, 785, -450," 34,350",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 2,015.70"," 2,652.60"," 4,950",9750.00,-,-, 1.80," 5,325", -3.80,"

 2.80
",-, 2,-," 2,250",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,649.30"," 2,374.45"," 1,200",9800.00, 975, 0.15, 0.30, 750, -7.65,"

 0.15
",-," 1,169"," -11,025"," 31,350",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,229.00"," 2,489.10"," 4,950",9850.00,-,-, 4.20," 7,650", -3.00,"

 5.00
",-, 1, 75," 1,650",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,286.85"," 2,235.00"," 1,200",9900.00, 225, 0.20, 0.30, 525, -9.30,"

 0.30
",-," 1,542"," -33,900"," 64,650",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,249.75"," 2,303.65"," 1,200",9950.00," 4,500", 0.25, 0.35," 3,450", -4.70,"

 0.30
",-," 11,189"," 12,000"," 12,300",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,754.00"," 2,199.75"," 1,200",10000.00, 750, 0.25, 0.30," 2,625", -11.30,"

 0.25
",-," 8,914"," -101,100"," 399,150",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,191.65"," 2,191.30"," 4,950",10050.00," 4,500", 0.10, 0.30, 450, -0.15,"

 0.30
",-, 235," 8,550"," 8,550",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,652.60"," 2,099.75"," 1,200",10100.00,-,-, 10.70," 58,725",-,"
							
								-
							
							
							
							",-,-,-," 21,225",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,531.75"," 1,950.20"," 1,200",10150.00," 4,500", 0.10, 0.35," 4,500", -0.50,"

 0.35
",-, 60,-,-,
, 600, 75, 2,-,"
 1,770.55
", 193.55, 75," 1,631.35"," 1,652.70", 75,10200.00, 525, 0.35, 0.40," 4,575", -14.40,"

 0.40
",-," 2,500"," -16,575"," 93,900",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,434.55"," 1,806.50"," 4,950",10250.00," 4,500", 0.20, 1.00," 1,500",-,"
							
								-
							
							
							
							",-,-,-,-,
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,455.50"," 1,899.75"," 1,200",10300.00, 300, 0.25, 0.35, 225, -16.25,"

 0.30
",-," 1,135"," -15,675"," 53,550",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,011.40"," 1,924.40"," 4,950",10350.00, 300, 0.35, 1.00," 1,500", -0.25,"

 2.80
",-, 27, 750, 825,
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,336.90"," 1,799.75"," 1,200",10400.00, 75, 0.40, 0.50, 150, -19.55,"

 0.50
",-," 2,952"," -8,100"," 79,875",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,293.55"," 1,602.45"," 4,950",10450.00," 4,500", 0.10, 1.40," 1,500",-,"
							
								-
							
							
							
							",-,-,-,-,
, 75,-,-,-,"
							
							-
							
							",-," 4,950"," 1,203.00"," 1,699.70"," 1,200",10500.00, 900, 0.50, 0.60," 1,050", -22.55,"

 0.50
",-," 17,186"," -139,500"," 697,200",
, 750,-,-,-,"
							
							-
							
							",-, 75," 1,281.20"," 1,315.55", 75,10550.00, 750, 0.15, 1.40," 1,500", -5.95,"

 0.75
",-, 38,-,-,
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,203.25"," 1,273.90"," 4,950",10600.00, 75, 0.45, 0.55, 150, -24.35,"

 0.55
",-," 4,508"," -40,575"," 113,025",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,142.35"," 1,222.55"," 4,950",10650.00,-,-, 10.00," 12,450",-,"
							
								-
							
							
							
							",-,-,-," 3,525",
, 225,-,-,-,"
							
							-
							
							",-, 75," 1,126.55"," 1,163.40"," 4,950",10700.00, 75, 0.50, 0.75, 150, -28.35,"

 0.60
",-," 10,821"," -63,225"," 197,700",
, 150,-,-,-,"
							
							-
							
							",-," 1,200"," 1,058.25"," 1,122.50"," 4,950",10750.00, 300, 0.50, 1.00," 1,575", -31.50,"

 1.00
",-, 25, 75," 2,325",
," 1,500", -150, 8,-,"
 1,120.55
", 105.50, 75," 1,026.75"," 1,059.45", 75,10800.00," 1,650", 0.70, 0.75," 2,175", -33.55,"

 0.70
",-," 14,555"," 10,275"," 300,150",
,-,-,-,-,"
							
							-
							
							",-," 1,125", 951.55," 1,015.25"," 4,950",10850.00," 4,950", 0.55, 1.25, 150, -36.45,"

 0.60
",-, 140, 900," 8,925",
, 600, -150, 4,-,"
 963.60
", 44.60, 75, 932.45, 947.55, 75,10900.00, 75, 0.70, 0.80, 750, -39.65,"

 0.75
",-," 11,725"," -56,400"," 113,700",
