CALLS, ,PUTS
Chart,OI,Chng in OI,Volume,IV,LTP,Net Chng,BidQty,BidPrice,AskPrice,AskQty,Strike Price,BidQty,BidPrice,AskPrice,AskQty,Net Chng,LTP,IV,Volume,Chng in OI,OI,Chart
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,948.40"," 2,539.25"," 4,950",9650.00," 1,125", 0.15, 0.30," 1,800", -4.75,"

 0.15
",-," 1,646"," -8,775"," 76,050",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,380.75"," 2,483.30"," 4,950",9700.00," 12,750", 0.10, 0.20, 525, -5.75,"

 0.20
",-, 785, -450," 34,350",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,366.25"," 2,403.60"," 4,950",9750.00,-,-, 1.80," 4,650", -3.80,"

 2.80
",-, 2,-," 2,250",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,816.40"," 2,399.80"," 4,950",9800.00," 7,050", 0.15, 0.25," 1,725", -7.55,"

 0.25
",-," 1,210"," -11,625"," 30,750",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,771.70"," 2,296.25"," 4,950",9850.00,-,-, 4.20," 5,175", -3.00,"

 5.00
",-, 1, 75," 1,650",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,727.60"," 2,235.05"," 4,950",9900.00, 975, 0.15, 0.25," 2,475", -9.45,"

 0.15
",-," 1,575"," -35,250"," 63,300",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,682.60"," 2,178.65"," 4,950",9950.00," 1,425", 0.20, 0.30, 150, -4.70,"

 0.30
",-," 11,424"," 19,725"," 20,025",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,115.65"," 2,199.80"," 4,950",10000.00, 300, 0.25, 0.30," 1,050", -11.25,"

 0.30
",-," 9,238"," -110,250"," 390,000",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,595.05"," 2,067.20"," 4,950",10050.00," 4,500", 0.05, 0.20, 450, -0.15,"

 0.30
",-, 235," 8,550"," 8,550",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,054.90"," 2,099.80"," 4,950",10100.00,-,-, 10.70," 56,850",-,"
							
								-
							
							
							
							",-,-,-," 21,225",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,551.30"," 1,950.25"," 4,950",10150.00," 4,500", 0.05, 0.45, 75, -0.50,"

 0.35
",-, 60,-,-,
, 525,-, 9,-,"
 1,591.55
", 14.55, 75," 1,593.05"," 1,621.85", 75,10200.00, 150, 0.25, 0.35," 2,625", -14.55,"

 0.25
",-," 2,592"," -16,800"," 93,675",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,434.55"," 1,762.00"," 4,950",10250.00," 4,500", 0.10, 0.65, 75,-,"
							
								-
							
							
							
							",-,-,-,-,
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,377.20"," 1,899.80"," 4,950",10300.00," 2,775", 0.10, 0.20, 150, -16.35,"

 0.20
",-," 1,198"," -16,875"," 52,350",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,330.00"," 1,731.20"," 4,950",10350.00, 750, 0.25, 0.90," 1,500", -2.75,"

 0.30
",-, 33," 1,200"," 1,275",
,-,-,-,-,"
							
							-
							
							",-," 1,200", 876.25," 1,799.80"," 4,950",10400.00," 5,325", 0.30, 0.35, 150, -19.70,"

 0.35
",-," 3,084"," -10,350"," 77,625",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,190.75"," 1,558.15"," 4,950",10450.00," 4,500", 0.10, 0.65, 75,-,"
							
								-
							
							
							
							",-,-,-,-,
, 75,-,-,-,"
							
							-
							
							",-," 4,950"," 1,203.00"," 1,902.80"," 1,200",10500.00," 3,000", 0.30, 0.40," 3,525", -22.75,"

 0.30
",-," 17,970"," -189,750"," 646,950",
, 750,-, 5,-,"
 1,299.25
", 99.25, 75," 1,245.00"," 1,277.15", 75,10550.00," 3,750", 0.20, 1.00," 1,575", -6.55,"

 0.15
",-, 43,-,-,
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,169.65"," 1,240.60"," 4,950",10600.00," 2,025", 0.35, 0.50, 75, -24.45,"

 0.45
",-," 4,678"," -41,700"," 111,900",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,128.00"," 1,205.80"," 4,950",10650.00,-,-, 10.00," 6,075",-,"
							
								-
							
							
							
							",-,-,-," 3,525",
