CALLS, ,PUTS
Chart,OI,Chng in OI,Volume,IV,LTP,Net Chng,BidQty,BidPrice,AskPrice,AskQty,Strike Price,BidQty,BidPrice,AskPrice,AskQty,Net Chng,LTP,IV,Volume,Chng in OI,OI,Chart
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,948.40"," 2,539.25"," 4,950",9650.00, 300, 0.15, 0.25," 4,500", -4.75,"

 0.15
",-," 1,657"," -11,700"," 73,125",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,399.05"," 2,483.30"," 4,950",9700.00," 11,850", 0.10, 0.20," 1,050", -5.75,"

 0.20
",-, 785, -450," 34,350",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,386.35"," 2,403.60"," 4,950",9750.00,-,-, 1.80," 4,650", -3.80,"

 2.80
",-, 2,-," 2,250",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,816.40"," 2,399.80"," 4,950",9800.00," 7,050", 0.15, 0.25," 1,725", -7.55,"

 0.25
",-," 1,210"," -11,625"," 30,750",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,771.70"," 2,296.25"," 4,950",9850.00,-,-, 4.20," 5,175", -3.00,"

 5.00
",-, 1, 75," 1,650",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,727.60"," 2,235.05"," 4,950",9900.00," 4,050", 0.15, 0.25," 2,475", -9.45,"

 0.15
",-," 1,581"," -35,700"," 62,850",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,682.60"," 2,178.65"," 4,950",9950.00," 1,425", 0.20, 0.30, 150, -4.70,"

 0.30
",-," 11,424"," 19,725"," 20,025",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,134.95"," 2,199.80"," 4,950",10000.00," 4,050", 0.25, 0.35," 1,125", -11.25,"

 0.30
",-," 9,260"," -111,600"," 388,650",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,595.05"," 2,067.20"," 4,950",10050.00," 4,500", 0.10, 0.20, 450, -0.15,"

 0.30
",-, 235," 8,550"," 8,550",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,073.75"," 2,099.80"," 4,950",10100.00,-,-, 10.70," 57,450",-,"
							
								-
							
							
							
							",-,-,-," 21,225",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,551.30"," 1,950.25"," 4,950",10150.00," 4,500", 0.05, 0.45, 75, -0.50,"

 0.35
",-, 60,-,-,
, 525,-, 9,-,"
 1,591.55
", 14.55, 75," 1,592.85"," 1,621.00", 75,10200.00, 750, 0.35, 0.40," 4,575", -14.45,"

 0.35
",-," 2,664"," -17,700"," 92,775",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,434.55"," 1,762.00"," 4,950",10250.00," 4,500", 0.10, 0.65, 75,-,"
							
								-
							
							
							
							",-,-,-,-,
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,390.40"," 1,899.80"," 4,950",10300.00, 675, 0.20, 0.30, 600, -16.35,"

 0.20
",-," 1,223"," -16,650"," 52,575",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,330.00"," 1,731.20"," 4,950",10350.00, 750, 0.25, 0.90," 1,500", -2.75,"

 0.30
",-, 33," 1,200"," 1,275",
,-,-,-,-,"
							
							-
							
							",-," 1,200", 895.35," 1,799.80"," 4,950",10400.00," 3,525", 0.30, 0.35," 2,400", -19.70,"

 0.35
",-," 3,101"," -9,825"," 78,150",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,190.75"," 1,558.15"," 4,950",10450.00," 4,500", 0.10, 0.65, 75,-,"
							
								-
							
							
							
							",-,-,-,-,
, 75,-,-,-,"
							
							-
							
							",-," 4,950"," 1,203.00"," 1,902.80"," 1,200",10500.00, 450, 0.45, 0.50," 2,925", -22.60,"

 0.45
",-," 18,272"," -212,625"," 624,075",
, 375, -375, 10,-,"
 1,260.15
", 60.15, 75," 1,242.95"," 1,275.90", 75,10550.00," 4,500", 0.10, 0.95, 750, -6.55,"

 0.15
",-, 48, 375, 375,
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,169.70"," 1,240.60"," 4,950",10600.00, 525, 0.40, 0.60, 75, -24.50,"

 0.40
",-," 4,739"," -41,700"," 111,900",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,107.40"," 1,183.40"," 4,950",10650.00,-,-, 10.00," 7,575",-,"
							
								-
							
							
							
							",-,-,-," 3,525",
, 225,-,-,-,"
							
							-
							
							",-, 75," 1,090.45"," 1,125.60", 75,10700.00, 975, 0.60, 0.65, 150, -28.30,"

 0.65
",-," 11,410"," -78,750"," 182,175",
, 150,-,-,-,"
							
							-
							
							",-," 4,950"," 1,025.25"," 1,089.75"," 4,950",10750.00, 375, 0.10, 1.00," 1,500", -32.00,"

 0.50
",-, 35, -375," 1,875",
," 1,500", -150, 8,-,"
 1,120.55
", 105.50, 75, 988.50," 1,020.50", 75,10800.00, 75, 0.65, 0.75," 3,975", -33.60,"

 0.65
",-," 15,290"," -2,700"," 287,175",
,-,-,-,-,"
							
							-
							
							",-," 1,125", 916.55, 980.15," 4,950",10850.00, 150, 0.20, 0.90, 225, -36.65,"

 0.40
",-, 163, 75," 8,100",
, 600, -150, 4,-,"
 963.60
", 44.60, 75, 888.50, 908.80, 75,10900.00, 150, 0.65, 0.75, 75, -39.70,"

 0.70
",-," 12,223"," -69,825"," 100,275",
, 150,-, 1,-,"
 1,010.65
", 239.55, 75, 838.35, 859.35, 75,10950.00, 150, 0.50, 1.30, 75, -42.85,"

 0.50
",-, 216," -1,500"," 9,525",
," 6,225"," -3,000", 220,-,"
 805.00
", -11.50, 225, 799.90, 805.25, 75,11000.00," 1,200", 0.85, 0.90, 675, -47.35,"

 0.85
",-," 68,521"," -75,975"," 988,050",
, 600, -825, 26,-,"
 816.70
", 37.05, 75, 742.85, 772.55, 75,11050.00, 75, 0.85, 2.15, 75, -51.35,"

 1.05
",-, 640," 5,175"," 17,250",
," 3,150"," -3,300", 138,-,"
 705.85
", -14.65, 75, 692.85, 705.85, 75,11100.00, 75, 0.90, 0.95, 150, -55.10,"

 0.90
",-," 23,195"," -38,100"," 181,350",
," 1,350"," -1,050", 44,-,"
 705.00
", 17.50, 75, 642.85, 671.20, 75,11150.00, 300, 0.85, 1.85, 75, -61.15,"

 1.25
",-," 1,031"," 7,575"," 17,700",
," 37,350"," -4,350", 495,-,"
 598.75
", -39.50, 150, 601.10, 606.85, 150,11200.00, 525, 1.05, 1.15, 825, -65.80,"

 1.20
",-," 37,042"," -12,675"," 528,750",
," 3,825"," -1,050", 29,-,"
 571.25
", -28.40, 75, 544.50, 571.70, 75,11250.00, 75, 1.10, 1.70, 75, -71.50,"

 1.15
",-," 1,243"," -4,875"," 24,375",
," 41,400"," -36,075", 887,-,"
 497.00
", -43.00, 150, 499.65, 507.80, 225,11300.00," 2,100", 1.60, 1.65, 300, -77.90,"

 1.60
",-," 46,755"," -102,900"," 446,925",
," 2,850"," -2,400", 84,-,"
 455.00
", -49.40, 75, 447.30, 474.70, 75,11350.00, 150, 1.45, 2.65, 75, -83.75,"

 1.95
",-," 1,881"," -9,300"," 28,950",
," 79,050"," -12,300"," 1,358",-,"
 405.05
", -54.50, 150, 402.85, 406.85, 150,11400.00," 1,425", 2.25, 2.35, 525, -89.65,"

 2.25
",-," 68,276"," 111,600"," 603,075",
," 7,275"," -1,575", 62,-,"
 369.40
", -65.10, 75, 342.85, 361.05, 75,11450.00, 75, 2.70, 3.25, 150, -96.70,"

 3.15
",-," 5,999"," 14,025"," 44,025",
," 94,050"," -77,775"," 3,939",-,"
 296.15
", -82.40, 300, 303.70, 307.25, 75,11500.00, 750, 3.80, 3.90," 1,350", -105.05,"

 3.80
",-," 165,782"," 624,225"," 1,499,625",
," 9,975"," -3,150", 96,-,"
 270.15
", -78.15, 75, 248.30, 267.55, 75,11550.00, 75, 4.70, 5.20, 75, -116.35,"

 5.05
",-," 14,428"," 37,650"," 70,950",
," 52,800"," -73,125"," 5,752",-,"
 211.25
", -93.95, 75, 210.90, 212.45, 75,11600.00, 75, 7.55, 7.70, 150, -127.85,"

 7.60
",-," 151,592"," 342,675"," 742,650",
," 8,175"," -4,800", 551,-,"
 168.60
", -106.85, 75, 154.85, 180.70, 75,11650.00, 375, 12.40, 12.75, 75, -137.70,"

 12.40
",-," 27,418"," 38,850"," 66,225",
," 201,450"," -196,800"," 20,382",-,"
 123.65
", -116.40, 75, 123.40, 124.25, 75,11700.00, 75, 20.10, 20.30, 225, -146.70,"

 20.40
",-," 234,840"," 492,900"," 876,525",
," 85,350"," -29,400"," 5,656",-,"
 87.50
", -121.50, 75, 87.55, 88.95, 75,11750.00, 75, 31.70, 31.95, 75, -155.00,"

 31.90
",-," 57,960"," 64,875"," 182,925",
," 795,675"," 3,225"," 93,126",-,"
 62.15
", -122.40, 150, 61.70, 62.20, 825,11800.00, 75, 53.10, 53.55, 150, -154.00,"

 53.50
",-," 304,168"," 581,250"," 1,088,850",
," 205,275"," 130,200"," 19,696",-,"
 40.70
", -125.65, 525, 41.15, 41.60, 375,11850.00, 225, 77.90, 78.70, 75, -158.10,"

 78.25
",-," 50,477"," 97,425"," 115,950",
," 1,457,925"," 1,006,350"," 212,124",-,"
 26.00
", -116.40, 75, 25.85, 26.00, 975,11900.00, 75, 110.05, 110.80, 75, -152.90,"

 110.50
",-," 246,350"," 453,150"," 506,850",
," 263,325"," 192,675"," 42,930",-,"
 16.25
", -107.60, 600, 16.10, 16.30, 450,11950.00, 75, 147.05, 150.10, 150, -155.25,"

 150.00
",-," 20,317"," 27,525"," 34,275",
," 3,955,125"," 2,469,150"," 432,590",-,"
 10.40
", -96.50," 1,650", 10.30, 10.45, 300,12000.00," 1,200", 190.80, 192.50, 300, -138.20,"

 190.95
",-," 123,668"," 168,075"," 240,750",
," 257,775"," 198,450"," 42,300",-,"
 6.15
", -87.10, 225, 6.20, 6.35, 150,12050.00, 75, 233.55, 243.35, 150, -129.90,"

 246.80
",-," 4,857"," 16,350"," 16,800",
," 2,125,200"," 1,554,075"," 243,580",-,"
 4.15
", -73.40, 975, 4.20, 4.25, 225,12100.00, 75, 285.15, 288.15, 75, -105.60,"

 299.60
",-," 11,373"," 38,925"," 43,575",
," 175,050"," 143,175"," 22,361",-,"
 3.20
", -63.50, 150, 3.05, 3.25, 300,12150.00, 75, 320.25, 347.85, 75, -208.80,"

 346.00
",-, 76," 1,275"," 1,275",
," 3,009,525"," 2,029,950"," 242,503",-,"
 2.30
", -55.15," 2,250", 2.20, 2.30," 1,575",12200.00, 75, 379.55, 385.25, 150, -87.30,"

 390.00
",-," 1,324"," 14,625"," 22,875",
," 66,150"," 63,675"," 8,413",-,"
 1.80
", -49.15, 150, 1.65, 1.85, 300,12250.00, 75, 407.60, 469.80, 75,-,"
							
								-
							
							
							
							",-,-,-,-,
," 1,556,550"," 987,450"," 130,290",-,"
 1.40
", -41.20," 44,325", 1.40, 1.45," 9,300",12300.00, 75, 475.95, 493.60, 75, -75.30,"

 480.00
",-, 86, 900," 1,800",
," 45,300"," 35,325"," 2,200",-,"
 1.35
", -39.60, 75, 1.35, 1.60, 150,12350.00, 75, 502.00, 564.90, 75,-,"
							
								-
							
							
							
							",-,-,-,-,
," 1,432,725"," 647,925"," 114,810",-,"
 1.05
", -31.40," 3,900", 1.05, 1.10," 1,800",12400.00, 75, 576.65, 593.25, 75, -229.95,"

 530.35
",-, 5,-,-,
, 675,-,-,-,"
							
							-
							
							",-,-,-, 4.00," 1,050",12450.00, 75, 613.25, 676.30, 75,-,"
							
								-
							
							
							
							",-,-,-,-,
," 3,245,700"," 1,562,025"," 200,741",-,"
 0.95
", -25.35," 36,300", 0.90, 0.95," 6,525",12500.00, 75, 678.65, 692.25, 225, -77.20,"

 680.00
",-, 63, -300, 600,
," 4,950"," 4,950", 443,-,"
 1.00
", -24.70, 75, 0.75, 0.90, 300,12550.00," 4,950", 701.05, 764.40, 75,-,"
							
								-
							
							
							
							",-,-,-,-,
," 909,300"," 432,075"," 56,606",-,"
 0.70
", -19.90, 300, 0.70, 0.75, 825,12600.00," 4,950", 749.45, 812.95," 4,950",-,"
							
								-
							
							
							
							",-,-,-,-,
," 1,125"," 1,125", 19,-,"
 1.00
", -17.55," 4,500", 0.25, 1.25, 75,12650.00," 4,950", 796.15, 859.70," 4,950",-,"
							
								-
							
							
							
							",-,-,-,-,
," 441,075"," 78,525"," 28,944",-,"
 0.60
", -15.90, 150, 0.55, 0.60, 225,12700.00," 4,950", 845.90, 909.55," 4,950",-,"
							
								-
							
							
							
							",-,-,-,-,
, 900, 900, 23,-,"
 0.60
", -12.60, 75, 0.25, 0.60, 150,12750.00," 4,950", 890.70, 954.45," 4,950",-,"
							
								-
							
							
							
							",-,-,-,-,
," 528,750"," 129,075"," 26,729",-,"
 0.60
", -13.10," 1,050", 0.55, 0.60, 375,12800.00," 4,950", 940.00," 1,003.80"," 4,950",-,"
							
								-
							
							
							
							",-,-,-,-,
, 300, 300, 10,-,"
 0.25
", -9.00, 75, 0.15, 0.80, 75,12850.00," 4,950"," 1,006.50"," 1,070.10"," 4,950",-,"
							
								-
							
							
							
							",-,-,-,-,
," 170,325"," 39,300"," 15,047",-,"
 0.55
", -10.55, 375, 0.45, 0.55," 4,800",12900.00," 4,950"," 1,054.95"," 1,118.75"," 4,950",-,"
							
								-
							
							
							
							",-,-,-,-,
, 525, 300, 9,-,"
 1.05
", -4.45, 75, 0.35, 0.70, 75,12950.00," 4,950"," 1,103.65"," 1,169.75"," 4,950",-,"
							
								-
							
							
							
							",-,-,-,-,
," 1,592,775"," 487,350"," 72,384",-,"
 0.40
", -8.05," 7,050", 0.40, 0.45, 600,13000.00," 4,950"," 1,154.45"," 1,220.55"," 4,950",-,"
							
								-
							
							
							
							",-,-,-,-,
," 18,000"," 1,125", 631,-,"
 0.35
", -7.45," 5,400", 0.30, 0.35, 75,13050.00," 4,950"," 1,191.60"," 1,261.50"," 4,950",-,"
							
								-
							
							
							
							",-,-,-,-,
," 71,850"," 12,000"," 4,506",-,"
 0.20
", -6.95," 3,825", 0.20, 0.40," 4,500",13100.00," 4,950"," 1,108.55"," 1,401.80"," 4,950",-,"
							
								-
							
							
							
							",-,-,-,-,
," 1,350", 150, 3,-,"
 4.80
", -3.00,-,-, 1.00," 3,000",13150.00, 975, 843.25," 1,458.30", 975,-,"
							
								-
							
							
							
							",-,-,-,-,
," 98,100"," -24,150"," 4,546",-,"
 0.15
", -6.15, 300, 0.15, 0.20, 525,13200.00," 4,950"," 1,209.30"," 1,499.00"," 4,950",-,"
							
								-
							
							
							
							",-,-,-,-,
," 18,900"," 2,175", 213,-,"
 0.05
", -6.95," 4,500", 0.05, 0.25, 150,13250.00," 4,950"," 1,202.05"," 1,567.65"," 4,950",-,"
							
								-
							
							
							
							",-,-,-,-,
