CALLS, ,PUTS
Chart,OI,Chng in OI,Volume,IV,LTP,Net Chng,BidQty,BidPrice,AskPrice,AskQty,Strike Price,BidQty,BidPrice,AskPrice,AskQty,Net Chng,LTP,IV,Volume,Chng in OI,OI,Chart
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,501.55"," 2,495.20"," 1,200",9650.00, 225, 0.15, 0.25," 4,500", -4.75,"

 0.15
",-," 1,442"," 1,800"," 86,625",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 2,035.10"," 2,483.25"," 1,200",9700.00," 16,800", 0.10, 0.20, 225, -5.75,"

 0.20
",-, 785, -450," 34,350",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 2,015.70"," 2,652.60"," 4,950",9750.00,-,-, 1.80," 4,575", -3.80,"

 2.80
",-, 2,-," 2,250",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,653.20"," 2,374.45"," 1,200",9800.00, 975, 0.15, 0.30, 750, -7.65,"

 0.15
",-," 1,169"," -11,025"," 31,350",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,234.10"," 2,489.10"," 4,950",9850.00,-,-, 4.20," 7,650", -3.00,"

 5.00
",-, 1, 75," 1,650",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,291.55"," 2,235.00"," 1,200",9900.00, 225, 0.20, 0.30, 525, -9.30,"

 0.30
",-," 1,542"," -33,900"," 64,650",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,254.95"," 2,303.65"," 1,200",9950.00," 4,500", 0.25, 0.35," 3,450", -4.70,"

 0.30
",-," 11,189"," 12,000"," 12,300",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,754.00"," 2,199.75"," 1,200",10000.00, 750, 0.25, 0.30," 2,550", -11.30,"

 0.25
",-," 8,914"," -101,100"," 399,150",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,196.05"," 2,191.30"," 4,950",10050.00," 4,500", 0.10, 0.30, 450, -0.15,"

 0.30
",-, 235," 8,550"," 8,550",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,652.60"," 2,099.75"," 1,200",10100.00,-,-, 10.70," 59,925",-,"
							
								-
							
							
							
							",-,-,-," 21,225",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,536.35"," 1,950.20"," 1,200",10150.00," 4,500", 0.10, 0.35," 4,500", -0.50,"

 0.35
",-, 60,-,-,
, 600, 75, 2,-,"
 1,770.55
", 193.55, 75," 1,637.90"," 1,659.30", 75,10200.00, 600, 0.35, 0.40," 4,425", -14.40,"

 0.40
",-," 2,500"," -16,575"," 93,900",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,434.55"," 1,806.50"," 4,950",10250.00," 4,500", 0.20, 0.90, 75,-,"
							
								-
							
							
							
							",-,-,-,-,
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,455.50"," 1,899.75"," 1,200",10300.00, 375, 0.25, 0.35, 75, -16.25,"

 0.30
",-," 1,135"," -15,675"," 53,550",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,015.50"," 1,924.40"," 4,950",10350.00," 4,350", 0.30, 0.90," 1,500", -2.75,"

 0.30
",-, 33," 1,200"," 1,275",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,338.90"," 1,799.75"," 1,200",10400.00, 150, 0.40, 0.60, 300, -19.55,"

 0.50
",-," 2,952"," -8,100"," 79,875",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,293.55"," 1,602.45"," 4,950",10450.00," 27,000", 0.05, 1.40," 1,500",-,"
							
								-
							
							
							
							",-,-,-,-,
, 75,-,-,-,"
							
							-
							
							",-," 4,950"," 1,203.00"," 1,699.70"," 1,200",10500.00, 975, 0.50, 0.60," 1,350", -22.45,"

 0.60
",-," 17,187"," -146,850"," 689,850",
, 750,-,-,-,"
							
							-
							
							",-, 75," 1,283.95"," 1,318.15", 75,10550.00, 750, 0.15, 1.40," 1,500", -5.95,"

 0.75
",-, 38,-,-,
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,203.25"," 1,273.90"," 4,950",10600.00, 750, 0.40, 0.45, 75, -24.45,"

 0.45
",-," 4,513"," -40,800"," 112,800",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,142.35"," 1,222.55"," 4,950",10650.00,-,-, 10.00," 12,450",-,"
							
								-
							
							
							
							",-,-,-," 3,525",
, 225,-,-,-,"
							
							-
							
							",-, 75," 1,129.20"," 1,167.30", 75,10700.00," 2,100", 0.40, 0.60, 225, -28.35,"

 0.60
",-," 10,833"," -63,225"," 197,700",
, 150,-,-,-,"
							
							-
							
							",-," 1,200"," 1,058.25"," 1,122.50"," 4,950",10750.00, 150, 0.50, 1.00," 1,575", -32.00,"

 0.50
",-, 27, 75," 2,325",
," 1,500", -150, 8,-,"
 1,120.55
", 105.50, 75," 1,029.45"," 1,061.45", 75,10800.00," 3,000", 0.65, 0.70, 375, -33.60,"

 0.65
",-," 14,597"," 10,275"," 300,150",
,-,-,-,-,"
							
							-
							
							",-," 4,950", 970.35," 1,034.15"," 4,950",10850.00, 75, 0.60, 1.20," 1,500", -36.45,"

 0.60
",-, 140, 900," 8,925",
, 600, -150, 4,-,"
 963.60
", 44.60, 75, 934.45, 948.75, 75,10900.00, 150, 0.65, 0.80, 75, -39.65,"

 0.75
",-," 11,765"," -56,400"," 113,700",
, 150,-, 1,-,"
 1,010.65
", 239.55, 75, 879.40, 899.35, 75,10950.00, 150, 0.60, 1.40," 1,500", -42.55,"

 0.80
",-, 209," -1,350"," 9,675",
," 7,200"," -2,025", 192,-,"
 837.70
", 21.20, 150, 839.35, 846.85, 150,11000.00, 675, 0.95, 1.00, 525, -47.20,"

 1.00
",-," 63,857"," -3,300"," 1,060,725",
, 600, -825, 26,-,"
 816.70
", 37.05, 75, 783.60, 816.45, 75,11050.00, 600, 0.70, 2.85, 75, -51.75,"

 0.65
",-, 620," 6,000"," 18,075",
," 4,800"," -1,650", 116,-,"
 745.00
", 24.50, 75, 733.30, 766.85, 75,11100.00, 450, 1.20, 1.35," 2,925", -54.65,"

 1.35
",-," 21,429"," -37,350"," 182,100",
," 2,100", -300, 29,-,"
 682.10
", -5.40, 75, 683.60, 716.80, 150,11150.00, 150, 1.45, 2.80, 75, -60.70,"

 1.70
",-, 983," 6,975"," 17,100",
," 37,875"," -3,825", 390,-,"
 646.25
", 8.00, 150, 638.75, 646.10, 150,11200.00, 75, 1.45, 1.60, 450, -65.35,"

 1.65
",-," 33,941"," 7,650"," 549,075",
," 4,050", -825, 25,-,"
 604.80
", 5.15, 75, 589.30, 614.30, 75,11250.00, 150, 1.55, 2.25, 150, -70.40,"

 2.25
",-," 1,162"," -4,500"," 24,750",
," 50,325"," -27,150", 711,-,"
 557.10
", 17.10, 150, 542.95, 553.15, 150,11300.00," 1,500", 1.90, 2.05, 150, -77.50,"

 2.00
",-," 42,145"," -115,500"," 434,325",
," 2,850"," -2,400", 75,-,"
 492.65
", -11.75, 75, 486.95, 516.75, 150,11350.00, 150, 2.20, 3.10, 150, -82.90,"

 2.80
",-," 1,754"," -7,950"," 30,300",
," 88,725"," -2,625"," 1,185",-,"
 447.10
", -12.45, 150, 442.80, 448.65, 225,11400.00, 150, 2.75, 2.85, 150, -89.05,"

 2.85
",-," 57,411"," 77,550"," 569,025",
