CALLS, ,PUTS
Chart,OI,Chng in OI,Volume,IV,LTP,Net Chng,BidQty,BidPrice,AskPrice,AskQty,Strike Price,BidQty,BidPrice,AskPrice,AskQty,Net Chng,LTP,IV,Volume,Chng in OI,OI,Chart
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,948.40"," 2,539.25"," 4,950",9650.00, 225, 0.15, 0.25," 6,075", -4.75,"

 0.15
",-," 1,658"," -12,450"," 72,375",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,421.45"," 2,483.30"," 4,950",9700.00," 10,575", 0.10, 0.20, 375, -5.75,"

 0.20
",-, 787," -1,125"," 33,675",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,408.55"," 2,403.60"," 4,950",9750.00,-,-, 1.80," 4,650", -3.80,"

 2.80
",-, 2,-," 2,250",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,816.40"," 2,399.80"," 4,950",9800.00," 6,975", 0.15, 0.25," 1,500", -7.55,"

 0.25
",-," 1,234"," -11,625"," 30,750",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,771.70"," 2,296.25"," 4,950",9850.00,-,-, 4.20," 5,175", -3.00,"

 5.00
",-, 1, 75," 1,650",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,727.60"," 2,235.05"," 4,950",9900.00," 4,875", 0.15, 0.25," 2,475", -9.45,"

 0.15
",-," 1,652"," -39,900"," 58,650",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,682.60"," 2,178.65"," 4,950",9950.00," 1,425", 0.15, 0.30, 150, -4.70,"

 0.30
",-," 11,424"," 12,600"," 12,900",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,157.75"," 2,199.80"," 4,950",10000.00," 1,650", 0.25, 0.35," 4,050", -11.30,"

 0.25
",-," 9,318"," -113,250"," 387,000",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,595.05"," 2,067.20"," 4,950",10050.00," 4,500", 0.10, 0.25, 75, -0.25,"

 0.20
",-, 241," 8,550"," 8,550",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,095.75"," 2,099.80"," 4,950",10100.00,-,-, 10.70," 56,250",-,"
							
								-
							
							
							
							",-,-,-," 21,225",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,551.30"," 1,950.25"," 4,950",10150.00," 4,500", 0.05, 0.45, 75, -0.50,"

 0.35
",-, 60," 4,500"," 4,500",
, 525,-, 9,-,"
 1,591.55
", 14.55, 75," 1,630.80"," 1,665.15", 75,10200.00," 1,350", 0.30, 0.40," 4,500", -14.45,"

 0.35
",-," 2,674"," -17,700"," 92,775",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,434.55"," 1,762.00"," 4,950",10250.00," 4,500", 0.10, 0.65, 75,-,"
							
								-
							
							
							
							",-,-,-,-,
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,405.30"," 1,899.80"," 4,950",10300.00, 450, 0.25, 0.40, 525, -16.25,"

 0.30
",-," 1,243"," -18,225"," 51,000",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,330.00"," 2,052.75"," 1,200",10350.00, 750, 0.25, 0.90," 1,800", -2.75,"

 0.30
",-, 33, 900, 975,
,-,-,-,-,"
							
							-
							
							",-," 1,200", 917.75," 2,002.80"," 1,200",10400.00," 3,000", 0.30, 0.40, 225, -19.70,"

 0.35
",-," 3,152"," -10,500"," 77,475",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,216.20"," 1,558.15"," 4,950",10450.00," 4,500", 0.10, 0.65, 75,-,"
							
								-
							
							
							
							",-,-,-,-,
, 75,-,-,-,"
							
							-
							
							",-," 4,950"," 1,203.00"," 1,902.80"," 1,200",10500.00," 3,000", 0.35, 0.45, 750, -22.70,"

 0.35
",-," 18,336"," -214,800"," 621,900",
,-, -750, 10,-,"
 1,260.15
", 60.15, 75," 1,280.70"," 1,319.70", 75,10550.00," 4,500", 0.10, 0.95, 750, -6.55,"

 0.15
",-, 48, 750, 750,
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,193.35"," 1,258.80"," 4,950",10600.00, 600, 0.40, 0.60, 75, -24.40,"

 0.50
",-," 4,805"," -41,700"," 111,900",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,150.35"," 1,223.75"," 4,950",10650.00,-,-, 10.00," 7,575",-,"
							
								-
							
							
							
							",-,-,-," 3,525",
, 225,-, 1,-,"
 1,148.55
", 131.30, 75," 1,130.95"," 1,166.50"," 4,950",10700.00, 525, 0.55, 0.65, 75, -28.40,"

 0.55
",-," 11,497"," -80,325"," 180,600",
, 150,-,-,-,"
							
							-
							
							",-," 1,200"," 1,041.55"," 1,108.00"," 4,950",10750.00, 300, 0.10, 1.00," 1,500", -32.40,"

 0.10
",-, 36, -600," 1,650",
," 1,500", -150, 8,-,"
 1,120.55
", 105.50, 75," 1,035.50"," 1,063.40", 75,10800.00, 75, 0.55, 0.65, 150, -33.80,"

 0.45
",-," 15,357"," -6,225"," 283,650",
,-,-,-,-,"
							
							-
							
							",-," 1,125", 953.15," 1,016.70"," 4,950",10850.00, 150, 0.25, 0.95," 1,500", -36.65,"

 0.40
",-, 163, 75," 8,100",
, 600, -150, 5,-,"
 920.90
", 1.90, 75, 931.20, 964.45, 75,10900.00," 1,950", 0.60, 0.70, 300, -39.80,"

 0.60
",-," 12,244"," -70,575"," 99,525",
, 150,-, 1,-,"
 1,010.65
", 239.55, 75, 880.95, 915.10, 75,10950.00, 75, 0.55, 1.35, 150, -42.80,"

 0.55
",-, 222," -1,500"," 9,525",
," 6,150"," -3,075", 221,-,"
 834.80
", 18.30, 225, 838.60, 844.30, 75,11000.00," 3,600", 0.60, 0.70," 4,425", -47.60,"

 0.60
",-," 69,038"," -81,900"," 982,125",
, 600, -825, 26,-,"
 816.70
", 37.05, 75, 776.75, 813.85, 75,11050.00, 75, 0.65, 0.95, 75, -51.75,"

 0.65
",-, 646," 4,950"," 17,025",
," 3,000"," -3,450", 139,-,"
 705.85
", -14.65, 75, 729.20, 749.50, 75,11100.00, 450, 0.70, 0.80, 75, -55.30,"

 0.70
",-," 23,444"," -46,725"," 172,725",
," 1,350"," -1,050", 44,-,"
 705.00
", 17.50, 75, 678.45, 711.85, 75,11150.00, 150, 0.70, 1.45, 150, -61.70,"

 0.70
",-," 1,036"," 7,050"," 17,175",
," 37,500"," -4,200", 512,-,"
 644.10
", 5.85, 150, 637.05, 642.25, 150,11200.00, 975, 0.85, 0.90, 900, -66.10,"

 0.90
",-," 37,356"," -19,425"," 522,000",
," 3,825"," -1,050", 29,-,"
 571.25
", -28.40, 75, 581.90, 603.00, 75,11250.00, 150, 0.90, 1.05, 150, -71.60,"

 1.05
",-," 1,270"," -5,100"," 24,150",
," 40,950"," -36,525", 898,-,"
 545.00
", 5.00, 75, 538.90, 545.30, 375,11300.00, 450, 1.20, 1.30, 525, -78.20,"

 1.30
",-," 47,477"," -99,675"," 450,150",
," 2,700"," -2,550", 84,-,"
 455.00
", -49.40, 75, 485.20, 514.00, 150,11350.00, 75, 1.25, 1.70, 150, -84.00,"

 1.70
",-," 1,894"," -10,125"," 28,125",
," 78,000"," -13,350"," 1,398",-,"
 446.05
", -13.50, 75, 438.55, 444.15, 75,11400.00, 825, 1.60, 1.65, 150, -90.20,"

 1.70
",-," 70,314"," 124,200"," 615,675",
," 7,200"," -1,650", 68,-,"
 389.80
", -44.70, 75, 388.65, 403.00, 75,11450.00, 75, 1.85, 2.25, 75, -98.00,"

 1.85
",-," 6,065"," 13,725"," 43,725",
," 95,550"," -76,275"," 4,118",-,"
 341.60
", -36.95, 75, 339.60, 342.45, 75,11500.00, 525, 2.50, 2.55, 900, -106.30,"

 2.55
",-," 171,471"," 588,225"," 1,463,625",
," 9,975"," -3,150", 96,-,"
 270.15
", -78.15, 75, 282.60, 303.45, 75,11550.00, 75, 3.35, 3.90, 75, -117.60,"

 3.80
",-," 14,668"," 38,325"," 71,625",
