CALLS, ,PUTS
Chart,OI,Chng in OI,Volume,IV,LTP,Net Chng,BidQty,BidPrice,AskPrice,AskQty,Strike Price,BidQty,BidPrice,AskPrice,AskQty,Net Chng,LTP,IV,Volume,Chng in OI,OI,Chart
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,435.05"," 2,495.20"," 1,200",9650.00," 1,425", 0.25, 0.30," 5,550", -4.60,"

 0.30
",-," 1,349"," 3,150"," 87,975",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 2,021.80"," 2,483.25"," 1,200",9700.00," 6,000", 0.10, 0.45, 75, -5.55,"

 0.40
",-, 674, -750," 34,050",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 2,015.70"," 2,652.60"," 4,950",9750.00,-,-, 1.80," 5,325", -3.80,"

 2.80
",-, 2,-," 2,250",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,586.90"," 2,374.45"," 1,200",9800.00, 375, 0.25, 0.35," 1,500", -7.50,"

 0.30
",-," 1,081"," -7,800"," 34,575",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,926.80"," 2,489.10"," 4,950",9850.00,-,-, 4.20," 6,150", -3.00,"

 5.00
",-, 1,-," 1,575",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,226.65"," 2,235.00"," 1,200",9900.00," 8,475", 0.05, 0.50," 5,025", -9.50,"

 0.10
",-," 1,336"," -28,800"," 69,750",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,188.05"," 2,303.65"," 1,200",9950.00, 75, 0.30, 0.40, 75, -4.70,"

 0.30
",-," 10,655"," 14,850"," 15,150",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,724.70"," 2,199.75"," 1,200",10000.00," 6,375", 0.35, 0.45," 4,050", -11.10,"

 0.45
",-," 8,433"," -82,125"," 418,125",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,129.75"," 2,191.30"," 4,950",10050.00," 4,500", 0.10, 0.40, 450, -0.15,"

 0.30
",-, 235," 8,550"," 8,550",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,600.50"," 2,099.75"," 1,200",10100.00,-,-, 10.70," 54,225",-,"
							
								-
							
							
							
							",-,-,-," 21,225",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,514.90"," 1,950.25"," 4,950",10150.00," 4,500", 0.35, 0.95," 4,500",-,"
							
								-
							
							
							
							",-,-,-,-,
, 600, 75, 2,-,"
 1,770.55
", 193.55, 75," 1,679.50"," 1,699.95", 75,10200.00, 450, 0.35, 0.45," 4,800", -14.40,"

 0.40
",-," 2,350"," -13,425"," 97,050",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,434.55"," 1,848.35"," 4,950",10250.00," 4,500", 0.20, 2.50, 75,-,"
							
								-
							
							
							
							",-,-,-,-,
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,401.10"," 1,899.75"," 1,200",10300.00, 75, 0.40, 0.60, 150, -16.15,"

 0.40
",-," 1,019"," -14,775"," 54,450",
,-,-,-,-,"
							
							-
							
							",-," 1,200", 948.90," 1,924.40"," 4,950",10350.00," 4,500", 0.30, 0.95, 150, -2.80,"

 0.25
",-, 21, 750, 825,
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,275.10"," 1,799.75"," 1,200",10400.00, 300, 0.50, 0.70, 225, -19.55,"

 0.50
",-," 2,828"," -9,750"," 78,225",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,293.55"," 1,602.45"," 4,950",10450.00," 4,500", 0.35, 2.00, 300,-,"
							
								-
							
							
							
							",-,-,-,-,
, 75,-,-,-,"
							
							-
							
							",-," 4,950"," 1,203.00"," 1,699.70"," 1,200",10500.00, 150, 0.60, 0.70, 225, -22.45,"

 0.60
",-," 16,656"," -133,200"," 703,500",
, 750,-,-,-,"
							
							-
							
							",-, 75," 1,329.25"," 1,364.10", 75,10550.00," 4,500", 0.10, 2.55, 75, -5.95,"

 0.75
",-, 38, 300, 300,
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,232.50"," 1,319.80"," 4,950",10600.00, 825, 0.35, 0.55, 375, -24.40,"

 0.50
",-," 4,314"," -40,125"," 113,475",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,177.85"," 1,270.75"," 4,950",10650.00,-,-, 10.00," 12,450",-,"
							
								-
							
							
							
							",-,-,-," 3,525",
