CALLS, ,PUTS
Chart,OI,Chng in OI,Volume,IV,LTP,Net Chng,BidQty,BidPrice,AskPrice,AskQty,Strike Price,BidQty,BidPrice,AskPrice,AskQty,Net Chng,LTP,IV,Volume,Chng in OI,OI,Chart
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 2,164.45"," 2,495.20"," 1,200",9650.00," 5,175", 0.20, 0.30, 300, -4.65,"

 0.25
",-," 1,323"," 3,225"," 88,050",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 2,003.40"," 2,483.25"," 1,200",9700.00," 3,750", 0.15, 0.20," 1,200", -5.80,"

 0.15
",-, 537,-," 34,800",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 2,015.70"," 2,652.60"," 4,950",9750.00,-,-, 1.80," 6,825", -3.80,"

 2.80
",-, 2,-," 2,250",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,565.70"," 2,374.45"," 1,200",9800.00, 375, 0.25, 0.35," 4,500", -7.55,"

 0.25
",-," 1,031"," -7,800"," 34,575",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,926.80"," 2,489.10"," 4,950",9850.00,-,-, 4.20," 6,150", -3.00,"

 5.00
",-, 1,-," 1,575",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,930.35"," 2,235.00"," 1,200",9900.00," 1,425", 0.25, 0.30," 3,975", -9.35,"

 0.25
",-," 1,153"," -21,225"," 77,325",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,834.70"," 2,303.65"," 1,200",9950.00, 300, 0.25, 0.40, 75, -4.70,"

 0.30
",-," 6,847", 375, 675,
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,704.30"," 2,199.75"," 1,200",10000.00," 3,000", 0.25, 0.35," 1,275", -11.30,"

 0.25
",-," 8,279"," -75,525"," 424,725",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,755.75"," 2,191.30"," 4,950",10050.00," 4,500", 0.10, 0.50," 4,500", -0.15,"

 0.30
",-, 235," 8,550"," 8,550",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,579.10"," 2,099.75"," 1,200",10100.00,-,-, 10.70," 46,725",-,"
							
								-
							
							
							
							",-,-,-," 21,225",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,666.20"," 2,038.45"," 4,950",10150.00," 4,500", 0.35, 0.95," 4,500",-,"
							
								-
							
							
							
							",-,-,-,-,
, 600, 75, 2,-,"
 1,770.55
", 193.55," 1,200"," 1,682.00"," 1,732.95", 75,10200.00, 150, 0.40, 0.45," 3,450", -14.35,"

 0.45
",-," 2,240"," -13,950"," 96,525",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,566.35"," 1,890.20"," 4,950",10250.00," 4,500", 0.15, 2.50, 75,-,"
							
								-
							
							
							
							",-,-,-,-,
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,380.00"," 1,899.75"," 1,200",10300.00, 300, 0.40, 0.50, 375, -16.05,"

 0.50
",-, 933," -13,200"," 56,025",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,441.25"," 1,924.40"," 4,950",10350.00, 750, 0.25, 0.95, 150, -2.80,"

 0.25
",-, 21, 750, 825,
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,389.65"," 1,799.75"," 1,200",10400.00, 225, 0.50, 0.65, 75, -19.55,"

 0.50
",-," 2,761"," -7,500"," 80,475",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,293.55"," 1,674.60"," 4,950",10450.00," 4,500", 0.35, 2.00, 300,-,"
							
								-
							
							
							
							",-,-,-,-,
, 75,-,-,-,"
							
							-
							
							",-," 4,950"," 1,203.00"," 1,699.75"," 1,200",10500.00," 5,100", 0.55, 0.70," 1,350", -22.40,"

 0.65
",-," 16,116"," -124,800"," 711,900",
, 750,-,-,-,"
							
							-
							
							",-, 75," 1,361.75"," 1,397.45", 75,10550.00," 4,500", 0.10, 2.55, 75, -5.95,"

 0.75
",-, 38, 300, 300,
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,283.95"," 1,347.95"," 4,950",10600.00, 225, 0.40, 0.50, 450, -24.50,"

 0.40
",-," 4,141"," -39,600"," 114,000",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,245.60"," 1,311.30"," 4,950",10650.00,-,-, 10.00," 12,450",-,"
							
								-
							
							
							
							",-,-,-," 3,525",
, 225,-,-,-,"
							
							-
							
							",-, 75," 1,207.05"," 1,245.50", 75,10700.00, 150, 0.50, 0.55, 75, -28.40,"

 0.55
",-," 10,376"," -55,125"," 205,800",
, 150,-,-,-,"
							
							-
							
							",-," 1,200"," 1,141.60"," 1,205.95"," 4,950",10750.00, 75, 0.55, 5.95," 1,200", -32.00,"

 0.50
",-, 20, 300," 2,550",
," 1,500", -150, 8,-,"
 1,120.55
", 105.50, 75," 1,119.35"," 1,133.70", 75,10800.00," 9,600", 0.60, 0.75, 75, -33.65,"

 0.60
",-," 12,673"," 29,925"," 319,800",
,-,-,-,-,"
							
							-
							
							",-," 1,125"," 1,035.55"," 1,099.85"," 4,950",10850.00, 75, 0.55, 1.35, 150, -36.15,"

 0.90
",-, 125, 225," 8,250",
, 675, -75, 2,-,"
 1,047.15
", 128.15, 75," 1,012.30"," 1,030.55", 75,10900.00, 300, 0.65, 0.75, 900, -39.60,"

 0.80
",-," 10,167"," -50,850"," 119,250",
, 150,-, 1,-,"
 1,010.65
", 239.55, 75, 957.35, 980.85, 75,10950.00, 75, 0.70, 1.95, 75, -42.40,"

 0.95
",-, 203," -1,050"," 9,975",
," 7,725"," -1,500", 156,-,"
 950.00
", 133.50, 75, 921.10, 941.80, 75,11000.00," 3,750", 0.85, 0.90," 2,025", -47.30,"

 0.90
",-," 55,203"," 22,125"," 1,086,150",
, 525, -900, 25,-,"
 919.00
", 139.35, 75, 860.50, 889.25, 75,11050.00, 150, 0.65, 1.40, 675, -51.00,"

 1.40
",-, 546," 6,225"," 18,300",
," 5,475", -975, 103,-,"
 848.00
", 127.50, 75, 811.55, 834.95, 75,11100.00," 3,450", 1.10, 1.15, 450, -54.85,"

 1.15
",-," 16,881"," -15,375"," 204,075",
," 2,250", -150, 18,-,"
 882.25
", 194.75," 4,950", 735.30, 799.15, 75,11150.00, 75, 1.25, 1.50, 75, -61.15,"

 1.25
",-, 671," 7,050"," 17,175",
," 36,675"," -5,025", 279,-,"
 723.20
", 84.95, 75, 722.45, 730.60, 75,11200.00, 450, 1.35, 1.45, 600, -65.60,"

 1.40
",-," 25,105"," -29,775"," 511,650",
," 4,125", -750, 16,-,"
 663.80
", 64.15," 1,125", 639.35, 696.05, 75,11250.00, 150, 1.60, 1.95, 150, -70.95,"

 1.70
",-, 816," -2,550"," 26,700",
," 55,725"," -21,750", 581,-,"
 623.65
", 83.65, 75, 621.35, 628.00, 150,11300.00, 600, 1.60, 1.65," 1,875", -77.85,"

 1.65
",-," 31,139"," -134,025"," 415,800",
," 3,675"," -1,575", 51,-,"
 570.45
", 66.05, 75, 563.30, 589.10, 150,11350.00, 150, 2.05, 2.45, 75, -83.35,"

 2.35
",-," 1,112"," -9,225"," 29,025",
," 83,925"," -7,425", 761,-,"
 520.00
", 60.45, 75, 522.75, 527.90, 75,11400.00, 225, 2.40, 2.45, 375, -89.45,"

 2.45
",-," 38,367"," 39,225"," 530,700",
," 7,200"," -1,650", 44,-,"
 472.95
", 38.45, 75, 472.55, 496.35, 75,11450.00, 75, 3.45, 3.55, 150, -96.45,"

 3.40
",-," 2,520"," 7,200"," 37,200",
," 124,575"," -47,250"," 2,498",-,"
 421.00
", 42.45, 375, 425.35, 429.45, 225,11500.00," 1,200", 4.25, 4.35, 75, -104.55,"

 4.30
",-," 94,369"," 584,250"," 1,459,650",
