CALLS, ,PUTS
Chart,OI,Chng in OI,Volume,IV,LTP,Net Chng,BidQty,BidPrice,AskPrice,AskQty,Strike Price,BidQty,BidPrice,AskPrice,AskQty,Net Chng,LTP,IV,Volume,Chng in OI,OI,Chart
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,948.40"," 2,539.25"," 4,950",9650.00, 225, 0.15, 0.25," 6,075", -4.75,"

 0.15
",-," 1,658"," -12,450"," 72,375",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,418.05"," 2,483.30"," 4,950",9700.00," 10,575", 0.10, 0.20, 375, -5.75,"

 0.20
",-, 787," -1,125"," 33,675",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,404.65"," 2,403.60"," 4,950",9750.00,-,-, 1.80," 4,650", -3.80,"

 2.80
",-, 2,-," 2,250",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,816.40"," 2,399.80"," 4,950",9800.00," 6,975", 0.15, 0.30, 750, -7.55,"

 0.25
",-," 1,234"," -11,625"," 30,750",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,771.70"," 2,296.25"," 4,950",9850.00,-,-, 4.20," 5,175", -3.00,"

 5.00
",-, 1, 75," 1,650",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,727.60"," 2,235.05"," 4,950",9900.00," 4,950", 0.15, 0.25," 2,475", -9.45,"

 0.15
",-," 1,651"," -38,550"," 60,000",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,682.60"," 2,178.65"," 4,950",9950.00," 1,425", 0.15, 0.30, 150, -4.70,"

 0.30
",-," 11,424"," 12,600"," 12,900",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,154.25"," 2,199.80"," 4,950",10000.00," 1,650", 0.25, 0.35," 4,125", -11.30,"

 0.25
",-," 9,318"," -113,250"," 387,000",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,595.05"," 2,067.20"," 4,950",10050.00," 4,500", 0.10, 0.25, 75, -0.25,"

 0.20
",-, 241," 8,550"," 8,550",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,091.95"," 2,099.80"," 4,950",10100.00,-,-, 10.70," 57,450",-,"
							
								-
							
							
							
							",-,-,-," 21,225",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,551.30"," 1,950.25"," 4,950",10150.00," 4,500", 0.05, 0.45, 75, -0.50,"

 0.35
",-, 60," 4,500"," 4,500",
, 525,-, 9,-,"
 1,591.55
", 14.55, 75," 1,623.60"," 1,657.75", 75,10200.00, 375, 0.35, 0.40," 4,575", -14.45,"

 0.35
",-," 2,668"," -17,700"," 92,775",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,434.55"," 1,762.00"," 4,950",10250.00," 4,500", 0.10, 0.65, 75,-,"
							
								-
							
							
							
							",-,-,-,-,
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,401.50"," 1,899.80"," 4,950",10300.00, 75, 0.25, 0.35, 525, -16.25,"

 0.30
",-," 1,243"," -18,225"," 51,000",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,330.00"," 2,052.75"," 1,200",10350.00, 750, 0.25, 0.90," 1,800", -2.75,"

 0.30
",-, 33, 900, 975,
,-,-,-,-,"
							
							-
							
							",-," 1,200", 914.15," 2,002.80"," 1,200",10400.00," 2,850", 0.30, 0.35, 750, -19.75,"

 0.30
",-," 3,130"," -10,500"," 77,475",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,190.75"," 1,558.15"," 4,950",10450.00," 4,500", 0.10, 0.65, 75,-,"
							
								-
							
							
							
							",-,-,-,-,
, 75,-,-,-,"
							
							-
							
							",-," 4,950"," 1,203.00"," 1,902.80"," 1,200",10500.00," 2,775", 0.35, 0.45, 900, -22.70,"

 0.35
",-," 18,335"," -214,800"," 621,900",
,-, -750, 10,-,"
 1,260.15
", 60.15, 75," 1,274.60"," 1,306.25"," 4,950",10550.00," 4,500", 0.10, 0.95, 750, -6.55,"

 0.15
",-, 48, 750, 750,
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,193.35"," 1,258.80"," 4,950",10600.00, 600, 0.40, 0.60, 150, -24.40,"

 0.50
",-," 4,805"," -41,700"," 111,900",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,128.65"," 1,203.80"," 4,950",10650.00,-,-, 10.00," 7,575",-,"
							
								-
							
							
							
							",-,-,-," 3,525",
, 225,-, 1,-,"
 1,148.55
", 131.30, 75," 1,123.75"," 1,148.55"," 4,875",10700.00," 1,950", 0.55, 0.65, 150, -28.40,"

 0.55
",-," 11,478"," -80,325"," 180,600",
, 150,-,-,-,"
							
							-
							
							",-," 1,200"," 1,041.55"," 1,108.00"," 4,950",10750.00, 300, 0.10, 1.00," 1,500", -32.40,"

 0.10
",-, 36, -600," 1,650",
," 1,500", -150, 8,-,"
 1,120.55
", 105.50, 75," 1,029.20"," 1,044.65", 75,10800.00, 225, 0.60, 0.70, 150, -33.65,"

 0.60
",-," 15,345"," -6,225"," 283,650",
,-,-,-,-,"
							
							-
							
							",-," 1,125", 935.10, 998.45," 4,950",10850.00, 75, 0.25, 0.95," 1,500", -36.65,"

 0.40
",-, 163, 75," 8,100",
, 600, -150, 5,-,"
 920.90
", 1.90, 75, 925.10, 940.85, 75,10900.00," 1,950", 0.60, 0.70, 300, -39.75,"

 0.65
",-," 12,243"," -70,575"," 99,525",
, 150,-, 1,-,"
 1,010.65
", 239.55, 150, 873.85, 890.80, 75,10950.00, 75, 0.60, 1.35, 225, -42.85,"

 0.50
",-, 216," -1,500"," 9,525",
," 6,150"," -3,075", 221,-,"
 834.80
", 18.30, 225, 832.25, 837.75, 75,11000.00," 1,050", 0.65, 0.75," 2,925", -47.55,"

 0.65
",-," 68,973"," -81,900"," 982,125",
, 600, -825, 26,-,"
 816.70
", 37.05, 75, 784.90, 806.15, 75,11050.00, 75, 0.70, 1.00," 1,575", -51.35,"

 1.05
",-, 640," 4,950"," 17,025",
," 3,000"," -3,450", 139,-,"
 705.85
", -14.65, 75, 726.10, 744.95, 75,11100.00, 225, 0.75, 0.90, 225, -55.20,"

 0.80
",-," 23,414"," -46,725"," 172,725",
," 1,350"," -1,050", 44,-,"
 705.00
", 17.50, 75, 668.85, 706.55, 75,11150.00, 225, 0.70, 1.70, 75, -61.70,"

 0.70
",-," 1,035"," 7,350"," 17,475",
," 37,500"," -4,200", 510,-,"
 629.95
", -8.30, 150, 631.35, 635.40, 75,11200.00, 300, 0.95, 1.00, 75, -66.05,"

 0.95
",-," 37,306"," -19,425"," 522,000",
," 3,825"," -1,050", 29,-,"
 571.25
", -28.40, 75, 579.75, 602.00, 75,11250.00, 75, 1.10, 1.75, 150, -71.55,"

 1.10
",-," 1,246"," -4,950"," 24,300",
," 41,250"," -36,225", 897,-,"
 536.90
", -3.10, 75, 533.85, 540.70, 150,11300.00, 75, 1.15, 1.25," 1,800", -78.25,"

 1.25
",-," 47,240"," -99,675"," 450,150",
," 2,700"," -2,550", 84,-,"
 455.00
", -49.40, 75, 479.45, 487.00, 75,11350.00, 75, 1.25, 1.65, 150, -84.00,"

 1.70
",-," 1,894"," -10,125"," 28,125",
," 78,000"," -13,350"," 1,396",-,"
 435.95
", -23.60, 150, 432.50, 437.30, 600,11400.00, 225, 1.55, 1.60, 150, -90.35,"

 1.55
",-," 70,097"," 124,200"," 615,675",
," 7,200"," -1,650", 66,-,"
 386.75
", -47.75, 75, 385.00, 400.15, 75,11450.00, 150, 1.90, 2.25, 150, -97.85,"

 2.00
",-," 6,056"," 13,725"," 43,725",
," 95,550"," -76,275"," 4,095",-,"
 334.90
", -43.65, 300, 333.40, 336.20, 75,11500.00," 6,450", 2.50, 2.55, 150, -106.35,"

 2.50
",-," 170,680"," 588,225"," 1,463,625",
," 9,975"," -3,150", 96,-,"
 270.15
", -78.15, 75, 278.05, 297.10, 75,11550.00, 150, 3.40, 3.85, 75, -117.55,"

 3.85
",-," 14,602"," 38,325"," 71,625",
," 52,875"," -73,050"," 5,860",-,"
 240.50
", -64.70, 75, 237.80, 240.95, 150,11600.00, 225, 5.90, 6.00, 150, -129.50,"

 5.95
",-," 156,466"," 335,625"," 735,600",
," 8,700"," -4,275", 573,-,"
 188.00
", -87.45, 75, 191.70, 197.85, 75,11650.00, 75, 9.65, 9.90, 150, -140.55,"

 9.55
",-," 29,063"," 48,600"," 75,975",
," 204,975"," -193,275"," 21,862",-,"
 149.55
", -90.50, 75, 149.35, 151.75, 75,11700.00, 150, 15.10, 15.30, 150, -152.00,"

 15.10
",-," 247,958"," 579,525"," 963,150",
," 105,675"," -9,075"," 6,056",-,"
 109.40
", -99.60, 75, 107.15, 109.30, 75,11750.00, 75, 22.80, 23.15, 75, -163.80,"

 23.10
",-," 61,287"," 78,600"," 196,650",
," 864,900"," 72,450"," 100,982",-,"
 77.50
", -107.05, 150, 77.05, 77.50, 900,11800.00, 675, 38.10, 38.75, 75, -169.30,"

 38.20
",-," 315,338"," 582,450"," 1,090,050",
," 272,850"," 197,775"," 22,473",-,"
 51.05
", -115.30, 375, 51.20, 51.95, 75,11850.00, 75, 56.45, 57.15, 75, -179.40,"

 56.95
",-," 52,529"," 101,325"," 119,850",
," 1,595,925"," 1,144,350"," 223,464",-,"
 32.60
", -109.80, 150, 32.60, 32.90, 150,11900.00, 75, 84.50, 85.10, 75, -178.40,"

 85.00
",-," 251,720"," 438,450"," 492,150",
," 279,450"," 208,800"," 46,025",-,"
 20.55
", -103.30, 75, 20.40, 20.60, 675,11950.00, 300, 118.15, 123.75, 75, -183.95,"

 121.30
",-," 20,462"," 23,625"," 30,375",
," 4,070,175"," 2,584,200"," 446,235",-,"
 13.00
", -93.90, 225, 12.95, 13.00, 450,12000.00, 75, 161.30, 163.50, 75, -164.60,"

 164.55
",-," 124,801"," 155,100"," 227,775",
," 274,425"," 215,100"," 43,885",-,"
 7.95
", -85.30, 525, 7.90, 8.05, 300,12050.00, 75, 204.45, 213.55, 75, -170.05,"

 206.65
",-," 4,898"," 16,050"," 16,500",
," 2,091,675"," 1,520,550"," 250,215",-,"
 5.00
", -72.55," 1,050", 4.90, 5.00, 450,12100.00, 75, 255.20, 258.25, 75, -147.20,"

 258.00
",-," 11,433"," 37,050"," 41,700",
," 174,150"," 142,275"," 23,021",-,"
 3.45
", -63.25, 75, 3.40, 3.45, 450,12150.00, 75, 298.25, 318.15, 75, -253.95,"

 300.85
",-, 87, 825, 825,
," 2,924,325"," 1,944,750"," 249,259",-,"
 2.50
", -54.95," 4,125", 2.40, 2.50," 3,600",12200.00, 75, 350.15, 355.90, 75, -121.55,"

 355.75
",-," 1,329"," 14,700"," 22,950",
," 66,000"," 63,525"," 8,519",-,"
 1.70
", -49.25, 150, 1.60, 2.15, 150,12250.00," 4,950", 386.10, 446.50, 75,-,"
							
								-
							
							
							
							",-,-,-,-,
," 1,499,250"," 930,150"," 135,380",-,"
 1.25
", -41.35," 70,725", 1.25, 1.30," 27,075",12300.00, 75, 443.15, 458.30, 75, -90.75,"

 464.55
",-, 87, 825," 1,725",
," 45,900"," 35,925"," 2,224",-,"
 1.20
", -39.75, 75, 1.05, 1.20, 75,12350.00," 4,950", 480.55, 543.30, 75,-,"
							
								-
							
							
							
							",-,-,-,-,
," 1,385,325"," 600,525"," 118,100",-,"
 0.85
", -31.60," 7,725", 0.80, 0.85, 75,12400.00, 75, 526.10, 556.85, 75, -229.95,"

 530.35
",-, 5, 75, 75,
, 675,-,-,-,"
							
							-
							
							",-,-,-, 4.00," 4,050",12450.00," 4,950", 592.25, 655.25, 75,-,"
							
								-
							
							
							
							",-,-,-,-,
," 3,213,975"," 1,530,300"," 203,414",-,"
 0.80
", -25.50," 29,025", 0.80, 0.85," 10,800",12500.00, 75, 647.10, 657.60, 75, -100.05,"

 657.15
",-, 64, -375, 525,
," 4,950"," 4,950", 444,-,"
 0.75
", -24.95, 75, 0.65, 1.50," 3,825",12550.00," 4,950", 680.60, 743.80, 75,-,"
							
								-
							
							
							
							",-,-,-,-,
," 923,475"," 446,250"," 56,942",-,"
 0.65
", -19.95," 1,725", 0.60, 0.65," 5,250",12600.00," 4,950", 728.90, 792.35," 4,950",-,"
							
								-
							
							
							
							",-,-,-,-,
," 1,125"," 1,125", 19,-,"
 1.00
", -17.55," 4,500", 0.25, 1.25, 75,12650.00," 4,950", 776.55, 840.05," 4,950",-,"
							
								-
							
							
							
							",-,-,-,-,
," 440,400"," 77,850"," 28,970",-,"
 0.55
", -15.95," 2,850", 0.50, 0.55," 1,050",12700.00," 4,950", 825.85, 889.40," 4,950",-,"
							
								-
							
							
							
							",-,-,-,-,
, 750, 750, 23,-,"
 0.60
", -12.60, 75, 0.25, 0.60, 150,12750.00," 4,950", 871.20, 934.80," 4,950",-,"
							
								-
							
							
							
							",-,-,-,-,
," 527,100"," 127,425"," 26,930",-,"
 0.50
", -13.20, 900, 0.45, 0.50," 7,275",12800.00," 4,950", 920.40, 984.00," 4,950",-,"
							
								-
							
							
							
							",-,-,-,-,
, 300, 300, 10,-,"
 0.25
", -9.00, 75, 0.15, 0.75, 150,12850.00," 4,950", 988.35," 1,051.85"," 4,950",-,"
							
								-
							
							
							
							",-,-,-,-,
," 169,575"," 38,550"," 15,165",-,"
 0.45
", -10.65," 1,350", 0.40, 0.45, 300,12900.00," 4,950"," 1,036.65"," 1,100.10", 975,-,"
							
								-
							
							
							
							",-,-,-,-,
, 525, 300, 9,-,"
 1.05
", -4.45, 150, 0.40, 0.70, 75,12950.00," 4,950"," 1,085.85"," 1,149.35", 975,-,"
							
								-
							
							
							
							",-,-,-,-,
," 1,582,200"," 476,775"," 72,757",-,"
 0.40
", -8.05," 19,800", 0.35, 0.40," 58,575",13000.00," 4,950"," 1,136.90"," 1,200.45", 975,-,"
							
								-
							
							
							
							",-,-,-,-,
," 18,000"," 1,125", 635,-,"
 0.35
", -7.45, 900, 0.30, 0.40," 1,125",13050.00," 4,950"," 1,173.80"," 1,237.60"," 4,950",-,"
							
								-
							
							
							
							",-,-,-,-,
," 71,025"," 11,175"," 4,510",-,"
 0.20
", -6.95," 5,850", 0.15, 0.25, 300,13100.00, 975, 788.65," 1,401.80"," 4,950",-,"
							
								-
							
							
							
							",-,-,-,-,
," 1,350", 150, 3,-,"
 4.80
", -3.00,-,-, 1.00," 6,000",13150.00, 975, 861.05," 1,458.30", 975,-,"
							
								-
							
							
							
							",-,-,-,-,
," 96,150"," -26,100"," 4,552",-,"
 0.20
", -6.10," 1,200", 0.15, 0.20, 150,13200.00, 975, 848.95," 1,499.00"," 4,950",-,"
							
								-
							
							
							
							",-,-,-,-,
," 18,750"," 2,025", 213,-,"
 0.05
", -6.95, 150, 0.10, 0.25, 150,13250.00, 975, 878.15," 1,567.65"," 4,950",-,"
							
								-
							
							
							
							",-,-,-,-,
," 686,775"," -3,675"," 26,000",-,"
 0.15
", -5.65," 1,950", 0.15, 0.20," 5,250",13300.00, 975," 1,328.30"," 1,603.25", 975,-,"
							
								-
							
							
							
							",-,-,-,-,
," 122,325"," 47,550"," 3,269",-,"
 0.25
", -4.65," 15,000", 0.15, 0.30," 5,025",13350.00," 4,950"," 1,290.95"," 1,679.35"," 4,950",-,"
							
								-
							
							
							
							",-,-,-,-,
Total," 24,086,325",," 2,155,635",," 1,816,829",," 10,602,675",Total
