CALLS, ,PUTS
Chart,OI,Chng in OI,Volume,IV,LTP,Net Chng,BidQty,BidPrice,AskPrice,AskQty,Strike Price,BidQty,BidPrice,AskPrice,AskQty,Net Chng,LTP,IV,Volume,Chng in OI,OI,Chart
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,948.40"," 2,539.20"," 1,200",9650.00," 12,525", 0.05, 0.15," 4,500", -4.85,"

 0.05
",-," 1,765"," -13,125"," 71,700",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,901.40"," 2,399.80"," 4,950",9700.00,-,-, 0.05, 525, -5.90,"

 0.05
",-," 1,079"," 4,875"," 39,675",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,844.80"," 2,403.55"," 1,200",9750.00,-,-, 0.55," 3,075", -4.80,"

 1.80
",-, 3, 75," 2,325",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,816.40"," 2,299.75"," 1,200",9800.00,-,-, 0.05," 6,600", -7.75,"

 0.05
",-," 1,777"," -5,925"," 36,450",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,771.70"," 2,296.20"," 1,200",9850.00,-,-, 4.20," 6,975", -3.00,"

 5.00
",-, 1, 75," 1,650",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,727.60"," 2,199.90"," 2,025",9900.00," 3,525", 0.10, 0.20," 4,500", -9.50,"

 0.10
",-," 2,033"," -53,175"," 45,375",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,668.00"," 2,178.65"," 4,950",9950.00," 1,425", 0.10, 0.30," 4,500", -4.85,"

 0.15
",-," 11,497"," 12,600"," 12,900",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,601.40"," 2,099.80"," 4,950",10000.00," 63,150", 0.05, 0.10," 2,550", -11.50,"

 0.05
",-," 10,776"," -153,000"," 347,250",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,579.30"," 1,964.35"," 4,950",10050.00," 4,575", 0.05, 0.30, 75, -0.40,"

 0.05
",-, 249," 8,550"," 8,550",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,501.60"," 1,999.80"," 4,950",10100.00,-,-, 10.70," 56,925",-,"
							
								-
							
							
							
							",-,-,-," 21,225",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,491.30"," 1,817.95"," 4,950",10150.00," 4,500", 0.05, 0.45, 75, -0.80,"

 0.05
",-, 120," 4,500"," 4,500",
, 525,-, 9,-,"
 1,591.55
", 14.55, 75," 1,572.10"," 1,584.45", 75,10200.00," 4,200", 0.10, 0.15, 375, -14.65,"

 0.15
",-," 3,181"," -29,475"," 81,000",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,370.40"," 1,724.90"," 4,950",10250.00," 18,000", 0.05, 0.50, 750,-,"
							
								-
							
							
							
							",-,-,-,-,
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,250.15"," 1,799.80"," 4,950",10300.00," 20,700", 0.05, 0.10," 1,125", -16.45,"

 0.10
",-," 1,356"," -21,450"," 47,775",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,314.60"," 1,589.30"," 4,950",10350.00," 22,650", 0.05, 0.50," 1,500", -2.75,"

 0.30
",-, 33, 900, 975,
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,201.10"," 1,699.80"," 4,950",10400.00," 5,175", 0.05, 0.10," 2,025", -19.95,"

 0.10
",-," 3,418"," -14,625"," 73,350",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,198.00"," 1,480.95"," 4,950",10450.00," 27,000", 0.05, 0.60, 600,-,"
							
								-
							
							
							
							",-,-,-,-,
, 75,-,-,-,"
							
							-
							
							",-," 4,950"," 1,099.20"," 1,599.80"," 4,950",10500.00," 24,600", 0.10, 0.15," 1,425", -22.90,"

 0.15
",-," 21,426"," -241,425"," 595,275",
,-, -750, 10,-,"
 1,260.15
", 60.15, 75," 1,221.20"," 1,265.70", 75,10550.00," 4,500", 0.10, 0.75, 225, -6.55,"

 0.15
",-, 48, 750, 750,
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,154.30"," 1,217.75"," 4,950",10600.00," 2,025", 0.10, 0.40," 3,000", -24.75,"

 0.15
",-," 5,266"," -38,025"," 115,575",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,116.45"," 1,179.95"," 4,950",10650.00,-,-, 5.00," 7,050",-,"
							
								-
							
							
							
							",-,-,-," 3,525",
, 150, -75, 3,-,"
 1,139.60
", 122.35," 4,950"," 1,049.35"," 1,084.65", 75,10700.00, 75, 0.20, 0.25, 975, -28.70,"

 0.25
",-," 12,753"," -100,725"," 160,200",
, 150,-,-,-,"
							
							-
							
							",-," 4,950", 999.55," 1,063.15"," 4,950",10750.00, 150, 0.10, 0.85, 150, -31.95,"

 0.55
",-, 40, -600," 1,650",
," 1,350", -300, 9,-,"
 931.75
", -83.30," 4,950", 968.60, 985.60, 75,10800.00, 975, 0.15, 0.25, 225, -34.05,"

 0.20
",-," 17,179"," -52,050"," 237,825",
,-,-,-,-,"
							
							-
							
							",-," 4,950", 918.10, 981.60," 4,950",10850.00, 75, 0.15, 0.30, 75, -36.85,"

 0.20
",-, 191, 900," 8,925",
, 525, -225, 6,-,"
 881.80
", -37.20," 4,950", 867.40, 884.50, 75,10900.00," 13,875", 0.10, 0.20," 1,200", -40.25,"

 0.15
",-," 13,401"," -66,525"," 103,575",
, 150,-, 1,-,"
 1,010.65
", 239.55, 75, 823.35, 835.25, 75,10950.00," 6,150", 0.10, 0.80, 300, -42.35,"

 1.00
",-, 240," -2,625"," 8,400",
," 4,200"," -5,025", 269,-,"
 788.00
", -28.50, 375, 771.80, 785.55, 75,11000.00," 7,650", 0.20, 0.25, 600, -48.00,"

 0.20
",-," 75,398"," -274,650"," 789,375",
, 675, -750, 30,-,"
 711.90
", -67.75," 4,950", 717.35, 738.10, 75,11050.00, 150, 0.15, 0.80, 300, -52.05,"

 0.35
",-, 749, -525," 11,550",
," 2,175"," -4,275", 180,-,"
 693.80
", -26.70, 75, 666.70, 680.55, 75,11100.00," 2,250", 0.25, 0.30," 2,700", -55.70,"

 0.30
",-," 26,460"," -75,225"," 144,225",
," 1,350"," -1,050", 48,-,"
 640.90
", -46.60, 75, 622.15, 635.30, 75,11150.00, 225, 0.25, 0.90, 300, -61.55,"

 0.85
",-," 1,084"," 6,750"," 16,875",
," 36,750"," -4,950"," 1,076",-,"
 603.95
", -34.30, 600, 580.00, 583.40, 75,11200.00," 1,200", 0.35, 0.40," 3,075", -66.65,"

 0.35
",-," 45,128"," -15,900"," 525,525",
," 3,675"," -1,200", 35,-,"
 533.45
", -66.20, 75, 525.00, 578.25, 75,11250.00," 1,200", 0.20, 0.55, 75, -72.45,"

 0.20
",-," 1,372"," -7,275"," 21,975",
," 40,800"," -36,675"," 1,215",-,"
 476.00
", -64.00, 75, 470.30, 476.75, 150,11300.00," 2,175", 0.35, 0.45, 300, -79.15,"

 0.35
",-," 57,278"," -206,775"," 343,050",
," 2,475"," -2,775", 109,-,"
 440.00
", -64.40, 75, 419.80, 431.05, 75,11350.00, 225, 0.30, 0.85, 225, -85.20,"

 0.50
",-," 2,217"," -11,550"," 26,700",
," 71,550"," -19,800"," 2,022",-,"
 380.90
", -78.65, 75, 371.60, 374.30, 150,11400.00," 2,700", 0.60, 0.65, 675, -91.30,"

 0.60
",-," 99,158"," 33,000"," 524,475",
," 5,775"," -3,075", 143,-,"
 351.85
", -82.65, 75, 322.25, 349.70, 150,11450.00, 225, 0.75, 0.85, 75, -99.05,"

 0.80
",-," 10,847"," 14,625"," 44,625",
," 67,125"," -104,700"," 5,686",-,"
 279.50
", -99.05, 150, 273.80, 277.90, 150,11500.00," 4,650", 0.90, 0.95," 2,775", -107.95,"

 0.90
",-," 250,458"," 571,125"," 1,446,525",
," 11,925"," -1,200", 242,-,"
 246.10
", -102.20, 75, 228.20, 238.55, 150,11550.00, 150, 1.10, 1.20, 75, -120.30,"

 1.10
",-," 23,361"," 51,375"," 84,675",
," 52,050"," -73,875"," 7,400",-,"
 172.75
", -132.45, 525, 170.00, 174.95, 75,11600.00," 1,125", 1.90, 2.00, 975, -133.55,"

 1.90
",-," 245,073"," 406,875"," 806,850",
," 10,050"," -2,925", 731,-,"
 127.00
", -148.45, 150, 119.75, 138.10, 150,11650.00, 450, 3.60, 3.70, 75, -146.40,"

 3.70
",-," 68,522"," 180,375"," 207,750",
," 289,350"," -108,900"," 48,056",-,"
 86.70
", -153.35, 225, 85.60, 86.55, 75,11700.00, 75, 9.30, 9.45," 1,725", -157.80,"

 9.30
",-," 440,458"," 1,126,125"," 1,509,750",
," 246,600"," 131,850"," 28,186",-,"
 45.60
", -163.40, 975, 45.00, 45.85, 225,11750.00, 75, 19.75, 19.95, 300, -167.05,"

 19.85
",-," 128,079"," 218,925"," 336,975",
," 1,374,000"," 581,550"," 258,326",-,"
 19.45
", -165.10, 225, 19.25, 19.45, 150,11800.00, 300, 38.20, 38.60, 75, -169.35,"

 38.15
",-," 496,335"," 542,925"," 1,050,525",
," 808,725"," 733,650"," 103,031",-,"
 6.15
", -160.20," 4,875", 6.10, 6.20, 525,11850.00, 75, 70.20, 71.20, 75, -166.25,"

 70.10
",-," 93,551"," 126,300"," 144,825",
," 2,586,600"," 2,135,025"," 434,162",-,"
 2.60
", -139.80," 5,475", 2.55, 2.65," 2,925",11900.00, 75, 111.85, 112.70, 150, -151.50,"

 111.90
",-," 319,147"," 345,000"," 398,700",
," 506,850"," 436,200"," 111,411",-,"
 1.55
", -122.30," 1,950", 1.50, 1.60," 2,100",11950.00, 75, 157.65, 169.35, 75, -149.25,"

 156.00
",-," 22,307"," 9,675"," 16,425",
," 5,121,675"," 3,635,700"," 697,410",-,"
 1.25
", -105.65," 3,150", 1.25, 1.30," 6,825",12000.00, 75, 209.30, 212.10, 150, -118.45,"

 210.70
",-," 136,432"," 36,150"," 108,825",
," 286,275"," 226,950"," 73,442",-,"
 0.90
", -92.35," 1,050", 0.90, 0.95, 525,12050.00, 75, 253.90, 268.25, 375, -127.70,"

 249.00
",-," 5,074"," 9,900"," 10,350",
," 1,756,425"," 1,185,300"," 348,923",-,"
 0.60
", -76.95," 4,425", 0.60, 0.70," 3,000",12100.00, 75, 308.40, 314.90, 75, -99.20,"

 306.00
",-," 12,040"," 21,675"," 26,325",
," 169,650"," 137,775"," 31,419",-,"
 0.65
", -66.05, 150, 0.65, 0.75, 375,12150.00, 75, 352.20, 368.85, 75, -228.95,"

 325.85
",-, 96, 450, 450,
," 2,800,050"," 1,820,475"," 321,279",-,"
 0.50
", -56.95," 8,700", 0.50, 0.55," 7,650",12200.00, 75, 412.90, 418.70, 75, -69.05,"

 408.25
",-," 1,674"," 1,350"," 9,600",
," 38,850"," 36,375"," 10,236",-,"
 0.45
", -50.50, 300, 0.25, 0.55, 75,12250.00, 75, 428.30, 491.50, 75,-,"
							
								-
							
							
							
							",-,-,-,-,
," 1,280,700"," 711,600"," 164,904",-,"
 0.40
", -42.20," 21,750", 0.40, 0.45," 12,300",12300.00," 4,950", 486.35, 514.50," 4,950", -25.30,"

 530.00
",-, 106, -225, 675,
," 39,525"," 29,550"," 2,674",-,"
 0.05
", -40.90," 14,625", 0.05, 0.50, 375,12350.00," 4,950", 503.25, 566.60," 4,950",-,"
							
								-
							
							
							
							",-,-,-,-,
," 1,141,575"," 356,775"," 133,735",-,"
 0.35
", -32.10," 2,175", 0.35, 0.40," 10,725",12400.00, 75, 567.45, 616.70," 4,950", -162.40,"

 597.90
",-, 7, 150, 150,
, 675,-,-,-,"
							
							-
							
							",-,-,-, 0.85, 150,12450.00, 75, 605.45, 668.75," 4,950",-,"
							
								-
							
							
							
							",-,-,-,-,
," 2,693,850"," 1,010,175"," 235,963",-,"
 0.30
", -26.00," 24,675", 0.30, 0.35," 11,250",12500.00, 75, 701.85, 719.20," 4,950", -39.65,"

 717.55
",-, 78, -675, 225,
," 2,175"," 2,175", 500,-,"
 0.50
", -25.20, 450, 0.20, 0.55," 4,500",12550.00," 4,950", 705.65, 769.15," 4,950",-,"
							
								-
							
							
							
							",-,-,-,-,
," 785,400"," 308,175"," 67,465",-,"
 0.15
", -20.45," 105,075", 0.10, 0.15," 39,825",12600.00," 4,950", 755.50, 819.05," 4,950",-,"
							
								-
							
							
							
							",-,-,-,-,
," 1,125"," 1,125", 33,-,"
 0.10
", -18.45," 22,500", 0.05, 0.50, 75,12650.00," 4,950", 805.45, 869.05," 4,950",-,"
							
								-
							
							
							
							",-,-,-,-,
," 353,475"," -9,075"," 32,715",-,"
 0.15
", -16.35," 14,250", 0.10, 0.15," 14,100",12700.00," 4,950", 854.90, 918.55," 4,950",-,"
							
								-
							
							
							
							",-,-,-,-,
, 750, 750, 27,-,"
 0.15
", -13.05," 22,500", 0.05, 0.30," 4,500",12750.00," 4,950", 901.35, 965.00," 4,950",-,"
							
								-
							
							
							
							",-,-,-,-,
," 476,400"," 76,725"," 31,503",-,"
 0.05
", -13.65," 123,225", 0.05, 0.10," 47,475",12800.00," 4,950", 952.25," 1,015.85"," 4,950",-,"
							
								-
							
							
							
							",-,-,-,-,
, 750, 750, 19,-,"
 0.15
", -9.10," 18,000", 0.05, 0.30, 75,12850.00," 4,950"," 1,022.15"," 1,085.85"," 4,950",-,"
							
								-
							
							
							
							",-,-,-,-,
," 140,850"," 9,825"," 16,587",-,"
 0.10
", -11.00," 4,500", 0.05, 0.10," 23,925",12900.00," 4,950"," 1,072.15"," 1,135.90"," 4,950",-,"
							
								-
							
							
							
							",-,-,-,-,
