CALLS, ,PUTS
Chart,OI,Chng in OI,Volume,IV,LTP,Net Chng,BidQty,BidPrice,AskPrice,AskQty,Strike Price,BidQty,BidPrice,AskPrice,AskQty,Net Chng,LTP,IV,Volume,Chng in OI,OI,Chart
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,948.40"," 2,539.20"," 1,200",9650.00," 7,200", 0.10, 0.25," 5,700", -4.80,"

 0.10
",-," 1,704"," -13,125"," 71,700",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,901.40"," 2,399.80"," 4,950",9700.00," 2,550", 0.10, 0.20," 1,500", -5.85,"

 0.10
",-, 942, -375," 34,425",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,844.80"," 2,403.55"," 1,200",9750.00,-,-, 0.55," 4,575", -4.80,"

 1.80
",-, 3, 75," 2,325",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,816.40"," 2,299.75"," 1,200",9800.00," 13,275", 0.10, 0.15," 2,025", -7.70,"

 0.10
",-," 1,471"," -12,525"," 29,850",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,771.70"," 2,296.20"," 1,200",9850.00,-,-, 4.20," 5,175", -3.00,"

 5.00
",-, 1, 75," 1,650",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,727.60"," 2,199.90"," 2,025",9900.00, 150, 0.15, 0.20," 1,500", -9.45,"

 0.15
",-," 1,816"," -51,300"," 47,250",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,668.00"," 2,178.65"," 4,950",9950.00," 6,900", 0.10, 0.35, 150, -4.70,"

 0.30
",-," 11,424"," 12,600"," 12,900",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,601.40"," 2,099.80"," 4,950",10000.00," 3,900", 0.15, 0.20," 3,225", -11.40,"

 0.15
",-," 9,846"," -141,375"," 358,875",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,579.30"," 2,019.05"," 4,950",10050.00," 5,100", 0.05, 0.75, 75, -0.20,"

 0.25
",-, 242," 8,550"," 8,550",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,501.60"," 1,999.80"," 4,950",10100.00,-,-, 10.70," 58,875",-,"
							
								-
							
							
							
							",-,-,-," 21,225",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,491.30"," 1,906.70"," 4,950",10150.00," 4,500", 0.05, 0.45, 75, -0.50,"

 0.35
",-, 60," 4,500"," 4,500",
, 525,-, 9,-,"
 1,591.55
", 14.55, 75," 1,586.00"," 1,626.30", 75,10200.00," 1,050", 0.25, 0.30," 1,125", -14.55,"

 0.25
",-," 3,072"," -32,025"," 78,450",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,434.55"," 1,762.00"," 4,950",10250.00," 4,500", 0.10, 0.65, 75,-,"
							
								-
							
							
							
							",-,-,-,-,
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,250.15"," 1,799.80"," 4,950",10300.00, 375, 0.15, 0.25, 225, -16.45,"

 0.10
",-," 1,319"," -19,500"," 49,725",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,314.60"," 1,673.75"," 4,950",10350.00," 4,500", 0.10, 0.85, 150, -2.75,"

 0.30
",-, 33, 900, 975,
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,201.10"," 1,699.80"," 4,950",10400.00," 2,550", 0.20, 0.30, 750, -19.85,"

 0.20
",-," 3,245"," -12,825"," 75,150",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,243.10"," 1,558.15"," 4,950",10450.00," 4,500", 0.10, 0.65, 75,-,"
							
								-
							
							
							
							",-,-,-,-,
, 75,-,-,-,"
							
							-
							
							",-," 4,950"," 1,099.20"," 1,599.80"," 4,950",10500.00," 2,175", 0.30, 0.35," 3,225", -22.75,"

 0.30
",-," 19,218"," -220,800"," 615,900",
,-, -750, 10,-,"
 1,260.15
", 60.15, 75," 1,235.10"," 1,278.55", 75,10550.00," 4,500", 0.10, 0.95, 750, -6.55,"

 0.15
",-, 48, 750, 750,
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,172.45"," 1,236.10"," 4,950",10600.00," 5,700", 0.25, 0.35," 2,025", -24.55,"

 0.35
",-," 4,946"," -40,050"," 113,550",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,126.50"," 1,190.15"," 4,950",10650.00,-,-, 5.00," 5,400",-,"
							
								-
							
							
							
							",-,-,-," 3,525",
, 150, -75, 3,-,"
 1,139.60
", 122.35, 75," 1,085.30"," 1,127.95", 75,10700.00," 6,450", 0.30, 0.35, 675, -28.65,"

 0.30
",-," 12,066"," -95,250"," 165,675",
, 150,-,-,-,"
							
							-
							
							",-," 4,950"," 1,020.30"," 1,084.00"," 4,950",10750.00, 150, 0.10, 1.00," 1,500", -31.95,"

 0.55
",-, 40, -600," 1,650",
," 1,500", -150, 8,-,"
 1,120.55
", 105.50, 75, 988.05," 1,024.05", 75,10800.00," 4,800", 0.35, 0.40," 1,275", -33.90,"

 0.35
",-," 16,119"," -9,450"," 280,425",
,-,-,-,-,"
							
							-
							
							",-," 4,950", 918.95, 982.60," 4,950",10850.00, 150, 0.25, 0.35, 300, -36.70,"

 0.35
",-, 177, 450," 8,475",
, 600, -150, 5,-,"
 920.90
", 1.90, 75, 890.75, 925.30, 75,10900.00," 1,875", 0.25, 0.30, 600, -40.15,"

 0.25
",-," 12,977"," -58,800"," 111,300",
, 150,-, 1,-,"
 1,010.65
", 239.55," 4,950", 840.30, 876.60, 75,10950.00, 225, 0.30, 1.00, 75, -43.05,"

 0.30
",-, 236," -1,950"," 9,075",
," 5,700"," -3,525", 241,-,"
 792.25
", -24.25, 375, 797.20, 827.25, 75,11000.00," 3,150", 0.35, 0.45," 1,125", -47.85,"

 0.35
",-," 72,143"," -163,950"," 900,075",
, 600, -825, 26,-,"
 816.70
", 37.05," 4,950", 739.40, 779.25, 150,11050.00, 75, 0.40, 0.75, 75, -52.00,"

 0.40
",-, 743, -225," 11,850",
," 2,850"," -3,600", 153,-,"
 692.50
", -28.00, 75, 688.90, 707.40, 75,11100.00," 3,375", 0.40, 0.45, 225, -55.65,"

 0.35
",-," 25,053"," -57,600"," 161,850",
," 1,350"," -1,050", 45,-,"
 692.00
", 4.50, 75, 639.00, 681.05, 75,11150.00, 75, 0.55, 0.75, 75, -61.90,"

 0.50
",-," 1,058"," 6,825"," 16,950",
," 36,225"," -5,475", 754,-,"
 599.45
", -38.80, 75, 593.10, 597.65, 75,11200.00, 750, 0.50, 0.55," 1,650", -66.45,"

 0.55
",-," 42,117"," 5,550"," 546,975",
