CALLS, ,PUTS
Chart,OI,Chng in OI,Volume,IV,LTP,Net Chng,BidQty,BidPrice,AskPrice,AskQty,Strike Price,BidQty,BidPrice,AskPrice,AskQty,Net Chng,LTP,IV,Volume,Chng in OI,OI,Chart
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,948.40"," 2,539.25"," 4,950",9650.00, 300, 0.15, 0.25," 4,500", -4.75,"

 0.15
",-," 1,657"," -11,700"," 73,125",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,402.90"," 2,483.30"," 4,950",9700.00," 11,850", 0.10, 0.20," 1,050", -5.75,"

 0.20
",-, 785, -450," 34,350",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,389.85"," 2,403.60"," 4,950",9750.00,-,-, 1.80," 4,650", -3.80,"

 2.80
",-, 2,-," 2,250",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,816.40"," 2,399.80"," 4,950",9800.00," 7,050", 0.15, 0.25," 1,725", -7.55,"

 0.25
",-," 1,210"," -11,625"," 30,750",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,771.70"," 2,296.25"," 4,950",9850.00,-,-, 4.20," 5,175", -3.00,"

 5.00
",-, 1, 75," 1,650",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,727.60"," 2,235.05"," 4,950",9900.00," 2,475", 0.15, 0.25," 2,475", -9.45,"

 0.15
",-," 1,602"," -36,000"," 62,550",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,682.60"," 2,178.65"," 4,950",9950.00," 1,425", 0.15, 0.30, 150, -4.70,"

 0.30
",-," 11,424"," 19,725"," 20,025",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,138.75"," 2,199.80"," 4,950",10000.00, 975, 0.30, 0.35," 1,125", -11.25,"

 0.30
",-," 9,263"," -112,275"," 387,975",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,595.05"," 2,067.20"," 4,950",10050.00," 4,500", 0.10, 0.20, 450, -0.15,"

 0.30
",-, 235," 8,550"," 8,550",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,077.55"," 2,099.80"," 4,950",10100.00,-,-, 10.70," 57,450",-,"
							
								-
							
							
							
							",-,-,-," 21,225",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,551.30"," 1,950.25"," 4,950",10150.00," 4,500", 0.05, 0.45, 75, -0.50,"

 0.35
",-, 60,-,-,
, 525,-, 9,-,"
 1,591.55
", 14.55, 75," 1,608.30"," 1,639.80", 75,10200.00, 750, 0.35, 0.40," 4,575", -14.45,"

 0.35
",-," 2,664"," -17,700"," 92,775",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,434.55"," 1,762.00"," 4,950",10250.00," 4,500", 0.10, 0.65, 75,-,"
							
								-
							
							
							
							",-,-,-,-,
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,391.90"," 1,899.80"," 4,950",10300.00, 675, 0.20, 0.30, 600, -16.35,"

 0.20
",-," 1,223"," -16,650"," 52,575",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,330.00"," 1,731.20"," 4,950",10350.00, 750, 0.25, 0.90," 1,500", -2.75,"

 0.30
",-, 33," 1,200"," 1,275",
,-,-,-,-,"
							
							-
							
							",-," 1,200", 898.75," 1,799.80"," 4,950",10400.00," 3,375", 0.30, 0.35," 2,250", -19.75,"

 0.30
",-," 3,103"," -9,900"," 78,075",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,190.75"," 1,558.15"," 4,950",10450.00," 4,500", 0.10, 0.65, 75,-,"
							
								-
							
							
							
							",-,-,-,-,
, 75,-,-,-,"
							
							-
							
							",-," 4,950"," 1,203.00"," 1,902.80"," 1,200",10500.00, 375, 0.45, 0.50," 3,600", -22.55,"

 0.50
",-," 18,273"," -212,625"," 624,075",
, 375, -375, 10,-,"
 1,260.15
", 60.15, 75," 1,257.35"," 1,287.45"," 4,950",10550.00," 4,500", 0.10, 0.95, 750, -6.55,"

 0.15
",-, 48, 375, 375,
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,169.70"," 1,240.60"," 4,950",10600.00, 525, 0.40, 0.50, 75, -24.50,"

 0.40
",-," 4,739"," -41,700"," 111,900",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,107.40"," 1,183.40"," 4,950",10650.00,-,-, 10.00," 7,575",-,"
							
								-
							
							
							
							",-,-,-," 3,525",
, 225,-,-,-,"
							
							-
							
							",-, 75," 1,107.80"," 1,130.95"," 4,950",10700.00," 2,775", 0.55, 0.65, 150, -28.40,"

 0.55
",-," 11,436"," -78,750"," 182,175",
, 150,-,-,-,"
							
							-
							
							",-," 1,200"," 1,025.30"," 1,089.75"," 4,950",10750.00, 375, 0.10, 1.00," 1,500", -32.00,"

 0.50
",-, 35, -375," 1,875",
," 1,500", -150, 8,-,"
 1,120.55
", 105.50, 75," 1,014.55"," 1,029.10"," 4,950",10800.00, 225, 0.60, 0.70," 6,150", -33.65,"

 0.60
",-," 15,292"," -3,975"," 285,900",
,-,-,-,-,"
							
							-
							
							",-," 1,125", 916.55, 980.15," 4,950",10850.00, 150, 0.20, 0.90, 225, -36.65,"

 0.40
",-, 163, 75," 8,100",
, 600, -150, 4,-,"
 963.60
", 44.60, 75, 907.80, 925.70, 75,10900.00, 150, 0.55, 0.65, 150, -39.80,"

 0.60
",-," 12,232"," -69,825"," 100,275",
, 150,-, 1,-,"
 1,010.65
", 239.55, 75, 863.55, 876.40, 75,10950.00, 150, 0.60, 1.35, 150, -42.85,"

 0.50
",-, 216," -1,500"," 9,525",
," 6,225"," -3,000", 220,-,"
 805.00
", -11.50, 225, 817.30, 823.50, 75,11000.00, 750, 0.70, 0.75," 4,050", -47.45,"

 0.75
",-," 68,597"," -80,175"," 983,850",
, 600, -825, 26,-,"
 816.70
", 37.05, 75, 760.55, 786.40, 75,11050.00, 75, 0.70, 1.05, 825, -51.35,"

 1.05
",-, 640," 5,175"," 17,250",
," 3,150"," -3,300", 139,-,"
 705.85
", -14.65, 75, 715.25, 729.95, 75,11100.00, 75, 0.80, 0.90, 150, -55.10,"

 0.90
",-," 23,254"," -41,475"," 177,975",
," 1,350"," -1,050", 44,-,"
 705.00
", 17.50, 75, 665.20, 691.30, 75,11150.00, 225, 0.75, 1.80, 75, -61.15,"

 1.25
",-," 1,031"," 7,575"," 17,700",
," 37,350"," -4,350", 497,-,"
 604.75
", -33.50, 150, 620.55, 627.10, 150,11200.00," 1,275", 1.00, 1.10, 75, -66.00,"

 1.00
",-," 37,078"," -13,575"," 527,850",
," 3,825"," -1,050", 29,-,"
 571.25
", -28.40, 75, 564.45, 583.70, 150,11250.00, 750, 1.05, 2.05, 150, -71.50,"

 1.15
",-," 1,243"," -4,875"," 24,375",
," 41,400"," -36,075", 888,-,"
 506.15
", -33.85, 150, 518.00, 524.75, 300,11300.00, 300, 1.35, 1.40, 300, -78.15,"

 1.35
",-," 46,861"," -102,300"," 447,525",
," 2,850"," -2,400", 84,-,"
 455.00
", -49.40, 75, 464.70, 487.30," 4,950",11350.00, 150, 1.35, 1.50, 75, -83.75,"

 1.95
",-," 1,881"," -9,300"," 28,950",
," 79,050"," -12,300"," 1,359",-,"
 407.35
", -52.20, 150, 420.55, 427.05, 150,11400.00," 1,950", 1.90, 2.00," 1,125", -89.95,"

 1.95
",-," 68,576"," 108,150"," 599,625",
," 7,275"," -1,575", 62,-,"
 369.40
", -65.10, 75, 365.70, 381.95, 75,11450.00, 75, 2.00, 2.80, 75, -97.55,"

 2.30
",-," 6,004"," 14,025"," 44,025",
," 94,725"," -77,100"," 3,987",-,"
 319.00
", -59.55, 150, 321.35, 326.15, 75,11500.00, 975, 2.95, 3.05," 1,950", -105.80,"

 3.05
",-," 166,699"," 602,325"," 1,477,725",
," 9,975"," -3,150", 96,-,"
 270.15
", -78.15, 75, 259.30, 280.95, 75,11550.00, 75, 4.00, 4.50, 75, -116.45,"

 4.95
",-," 14,472"," 39,375"," 72,675",
